,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58727.26300929999,g,19.302099227905273,0.10633999854326248
11,58732.301921300124,g,18.56739997863769,0.06361500173807144
12,58736.371909699876,R,18.4512996673584,0.12139099836349487
14,58744.358645800035,R,18.42289924621582,0.0891679972410202
15,58747.27495370014,g,18.929000854492188,0.10830099880695344
16,58750.25443289987,R,18.585100173950195,0.09635599702596664
17,58754.2056828998,R,18.60449981689453,0.09459199756383896
18,58754.25364580005,g,19.273399353027344,0.10902000218629836
19,58757.189039399855,g,19.392099380493164,0.11199299991130827
20,58760.270949100144,R,18.830400466918945,0.09398999810218812
21,58766.11697919992,R,18.82979965209961,0.1562879979610443
23,58769.12171299989,R,18.981300354003906,0.12426300346851347
24,58769.19347220008,g,19.681299209594727,0.26408499479293823
26,58773.192951399826,R,19.007299423217773,0.1893659979104996
27,58776.19118059985,R,19.156200408935547,0.15214799344539642
28,58781.103761599865,R,19.226600646972656,0.17698800563812256
29,58785.085682900164,R,19.31410026550293,0.13017399609088898
30,58789.212036999874,R,19.23290061950684,0.14487600326538086
34,58801.072592599776,R,19.480260848999023,0.17004676163196564
