,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58730.47545140004,g,20.459800720214844,0.18643200397491452
15,58733.40834489978,R,19.69599914550781,0.09861800074577333
16,58733.464016200036,g,19.576799392700195,0.1065870001912117
17,58736.46246530023,g,19.38820075988769,0.11996400356292725
18,58736.504722199876,R,19.264799118041992,0.10375399887561798
19,58739.40194439981,R,19.021499633789066,0.1229040026664734
20,58739.51770830015,g,19.30270004272461,0.12793399393558502
21,58743.35875000013,R,18.91900062561035,0.12603099644184113
22,58743.41336809984,g,19.12619972229004,0.17627400159835815
23,58746.389942099806,g,19.2632999420166,0.11854399740695952
24,58749.30403940008,R,19.12579917907715,0.09941399842500688
25,58749.32511569979,g,19.54459953308105,0.11874199658632277
26,58756.40336810006,g,20.042518615722656,0.1548183709383011
27,58759.371134299785,R,19.609100341796875,0.11154799908399582
29,58763.33728010021,R,19.650999069213867,0.12728600203990936
36,58775.1948032002,R,19.96091079711914,0.2026747465133667
