,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58740.35453699995,R,18.96820068359375,0.2690620124340057
15,58743.20706020017,g,19.381000518798828,0.16812799870967865
16,58745.11372689996,R,18.73940086364746,0.11141599714756012
17,58747.25018520001,R,18.927600860595703,0.12058400362730025
18,58747.27636570018,g,19.411800384521484,0.16066299378871918
19,58749.20613430021,g,19.47439956665039,0.14735999703407288
21,58750.25353009999,R,18.989599227905273,0.14132800698280334
22,58758.12178240017,R,18.824199676513672,0.12021099776029588
23,58758.2765740999,R,18.90760040283203,0.12279599905014038
24,58761.12664349983,R,18.860700607299805,0.10287100076675416
27,58766.115625000086,R,18.97960090637207,0.19794400036334991
30,58769.123055600096,R,19.03809928894043,0.1955540031194687
32,58771.09018519986,R,19.07539939880371,0.19266200065612796
36,58777.096863400184,R,19.09160041809082,0.107634998857975
37,58777.09775459999,R,19.36289978027344,0.14750699698925018
40,58781.1010532002,R,19.16069984436035,0.1596129983663559
41,58781.10240740003,R,19.055599212646484,0.16200199723243713
44,58785.08203699999,R,19.211700439453125,0.1788170039653778
45,58785.08293979988,R,19.212400436401367,0.16414399445056915
53,58797.08490739996,R,19.204599380493164,0.16747799515724182
61,58812.09177079982,R,19.28395652770996,0.1969913095235825
