,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58747.325636600144,g,19.32460021972656,0.12004800140857695
15,58747.403171299964,R,19.399999618530273,0.14839300513267514
16,58750.31892360003,R,19.186399459838867,0.12258200347423552
17,58750.36696759983,g,19.12299919128418,0.1028060019016266
18,58754.28828699981,g,18.941200256347656,0.11690100282430647
19,58757.3114120001,R,18.90920066833496,0.08720000088214874
20,58760.290682900224,R,18.997499465942386,0.07929500192403792
21,58760.3605324002,g,19.147899627685547,0.09389299899339676
22,58763.345902800094,R,19.111900329589844,0.13361799716949466
24,58764.12658559997,R,19.179800033569336,0.12817400693893433
25,58764.15569439996,g,19.264799118041992,0.15394699573516846
26,58765.12677079997,R,19.11359977722168,0.1213579997420311
27,58765.15631939982,g,19.45009994506836,0.15428100526332855
28,58766.12649310008,R,19.170700073242188,0.14448300004005432
29,58766.15868060011,g,19.2322998046875,0.15902499854564667
30,58767.12668980006,R,19.21030044555664,0.25429800152778625
31,58767.15616900008,g,19.34449958801269,0.2363090068101883
32,58768.12688660016,R,19.345699310302734,0.16210900247097015
33,58768.15674770017,g,19.557300567626953,0.2993130087852478
35,58769.12641200004,R,19.446199417114254,0.1788800060749054
37,58770.127488399856,R,19.410200119018555,0.22178800404071808
41,58772.1276273001,R,19.58810043334961,0.16997799277305606
42,58772.157245399896,g,19.69339942932129,0.19571800529956815
45,58774.12782410019,R,19.449199676513672,0.1879570037126541
47,58775.127534700085,R,19.678800582885746,0.20590800046920776
48,58775.15587959997,g,20.207000732421875,0.2170889973640442
49,58776.12731479992,R,19.5177001953125,0.19134600460529327
51,58777.127696800046,R,19.61720085144043,0.1804800033569336
52,58777.15550930007,g,20.631999969482425,0.29767999053001404
53,58778.12788189994,R,19.72669982910156,0.17482399940490725
55,58781.12754630017,R,19.51309967041016,0.2650049924850464
57,58782.126631900195,R,19.899700164794922,0.16178500652313232
61,58785.127442100085,R,19.84950065612793,0.19833000004291532
63,58786.13427079981,R,19.839414596557614,0.19443972408771515
71,58789.259884300176,R,19.9906005859375,0.21143899857997892
72,58790.163946799934,R,20.085845947265625,0.20470865070819852
