,ant_mjd,ant_passband,ant_mag,ant_magerr
32,58754.16526619997,R,19.409099578857425,0.13856300711631775
33,58754.193877299775,g,19.623199462890625,0.1461849957704544
34,58758.174282399945,R,18.49349975585937,0.0892070010304451
35,58758.21079860022,g,18.9148006439209,0.11532499641180037
36,58760.166736099876,R,18.51099967956543,0.07496900111436844
37,58760.19509259983,g,18.7716007232666,0.08768299967050552
38,58761.16571759991,R,18.421899795532227,0.08453600108623505
39,58761.19413190009,g,18.71139907836914,0.10391800105571747
40,58762.16546300008,R,18.521299362182614,0.08717299997806549
41,58762.19332179987,g,18.697999954223636,0.09190600365400314
42,58763.166736099876,R,18.372600555419922,0.0806879997253418
43,58763.19471060018,g,18.67300033569336,0.08908700197935104
44,58764.335219900124,g,18.660600662231445,0.09937500208616257
45,58771.26502310018,R,18.5310001373291,0.10644599795341493
46,58774.19334489992,R,18.686599731445312,0.0950779989361763
47,58777.18567130017,g,19.596599578857425,0.15781599283218384
48,58777.19138889993,R,19.0231990814209,0.10076099634170532
49,58781.1842939998,g,19.984500885009766,0.22907599806785586
50,58781.23491899995,R,18.70359992980957,0.1581760048866272
53,58788.22715280019,R,18.990413665771484,0.14922995865345
