,ant_mjd,ant_passband,ant_mag,ant_magerr
11,58756.45172449992,g,19.72960090637207,0.16798099875450134
12,58756.49165510014,R,19.511999130249023,0.14048700034618378
13,58759.465636599816,g,19.52280044555664,0.11603300273418428
14,58759.512303200085,R,19.1658992767334,0.0981379970908165
15,58763.466828700155,g,19.33650016784668,0.0989840030670166
16,58763.51478009997,R,18.9379997253418,0.1092120036482811
17,58766.46989580012,g,19.354700088500977,0.12267900258302687
18,58766.5357638998,R,18.76300048828125,0.09330300241708757
19,58769.4526157002,R,18.90069961547852,0.13261200487613678
21,58772.53599540005,R,18.73579978942871,0.10955499857664107
22,58775.42940969997,g,19.802600860595703,0.1835169941186905
23,58778.4925694,R,19.04960060119629,0.12112399935722352
24,58778.509594900075,g,19.947399139404297,0.18325300514698029
25,58781.48825229983,R,19.073699951171875,0.15565599501132965
28,58787.51194440015,R,19.25320053100586,0.18952900171279907
29,58790.49048609985,R,19.4424991607666,0.1477389931678772
31,58793.514189799775,R,19.748130798339844,0.2118110954761505
