,ant_mjd,ant_passband,ant_mag,ant_magerr
1,58757.504236099776,R,18.826900482177734,0.07997100055217743
2,58760.50442129978,R,18.78619956970215,0.1150830015540123
3,58764.481643499814,R,18.786617279052734,0.08845402300357819
4,58764.50464119995,g,19.088960647583008,0.11877118051052095
5,58767.478182900224,g,19.205299377441406,0.1641329973936081
6,58770.4609375,R,18.84029960632324,0.13357700407505035
8,58776.43880790007,R,19.393699645996094,0.2240220010280609
11,58779.5239467998,R,19.49449920654297,0.15848900377750394
12,58782.45677080005,R,19.480199813842773,0.13989099860191345
14,58785.48141200003,R,19.230995178222656,0.2036585658788681
