,ant_mjd,ant_passband,ant_mag,ant_magerr
35,58761.1474768999,R,18.681400299072266,0.08260700106620789
36,58761.17621529987,g,18.39259910583496,0.08831299841403961
37,58762.1471874998,R,18.24959945678711,0.0655680000782013
38,58762.1759722,g,18.09040069580078,0.07456900179386139
39,58763.14846060006,R,18.29750061035156,0.09928900003433228
40,58763.17730320013,g,18.250600814819336,0.07942099869251251
41,58764.38049770008,g,18.443099975585934,0.05797899886965752
42,58764.4140625,R,18.372100830078125,0.07056699693202972
43,58767.20570599986,R,18.611499786376953,0.14609600603580475
45,58771.27055560006,R,18.413000106811523,0.13463200628757474
46,58774.20107640001,R,18.431100845336914,0.09392300248146056
47,58777.20119210008,R,18.343299865722656,0.06279999762773514
48,58781.21253470006,g,18.53660011291504,0.1055229976773262
49,58781.24685190013,R,18.178699493408203,0.08376199752092361
50,58785.21369209979,g,18.57080078125,0.07628700137138368
51,58788.190590300124,g,18.63960075378418,0.10467100143432616
52,58788.2120949002,R,18.11899948120117,0.05446000024676323
53,58790.14575230004,R,18.123899459838867,0.06422299891710281
54,58791.10916669992,R,18.131799697875977,0.07466799765825273
55,58791.20277780014,g,18.825899124145508,0.10942400246858597
56,58791.277036999825,g,18.824499130249023,0.08890099823474884
57,58792.17723379983,R,18.191200256347656,0.058855000883340836
58,58794.121342599865,R,18.29490089416504,0.08016499876976013
59,58794.19028940005,g,18.97520065307617,0.1111690029501915
60,58794.20200229995,g,18.94879913330078,0.10410399734973907
61,58796.18109950004,g,19.022499084472656,0.186600998044014
62,58797.11059030006,R,18.338600158691406,0.12592899799346924
63,58797.189664400175,g,19.03720092773437,0.20383299887180328
64,58797.206550899886,g,19.05870056152344,0.1777389943599701
65,58799.21326390003,R,18.423900604248047,0.09309600293636322
66,58800.19175929995,g,19.359100341796875,0.19688700139522552
67,58800.274479200125,R,18.533700942993164,0.1152850016951561
68,58801.26626159996,R,18.548200607299805,0.10849200189113617
70,58803.17449070001,g,19.472700119018555,0.19192099571228027
71,58803.248634300195,R,18.55900001525879,0.08447100222110747
73,58806.22842589999,R,18.74740028381348,0.08777499943971634
74,58811.127523099996,R,18.91160011291504,0.1226940006017685
75,58811.172361100085,g,19.96999931335449,0.20919600129127505
76,58812.158472199924,g,19.888900756835934,0.1585710048675537
78,58814.15109949977,R,18.868099212646484,0.13843399286270142
80,58819.166550899856,R,18.96109962463379,0.11550399661064148
82,58828.20848379983,R,18.79759979248047,0.15415699779987335
83,58831.085706000216,R,19.199800491333008,0.11166500300168992
86,58838.09209490009,R,19.29330062866211,0.156126007437706
89,58846.111157400075,R,19.4783992767334,0.11296799778938292
94,58854.15927080018,R,19.380599975585934,0.2310660034418106
96,58856.12991899997,R,19.61289978027344,0.15881100296974182
97,58859.16546300008,R,19.50814819335937,0.1959546059370041
