,ant_mjd,ant_passband,ant_mag,ant_magerr
18,58763.439039399855,g,19.499399185180664,0.11940699815750122
19,58766.46041670023,g,19.132200241088867,0.09198799729347228
20,58766.5229282002,R,18.92959976196289,0.08776199817657471
21,58767.43722219997,g,18.997299194335934,0.15803499519824982
22,58768.42563659978,g,18.95479965209961,0.1241310015320778
23,58769.45980319986,R,18.77589988708496,0.1004450023174286
24,58770.40081019978,R,18.578899383544922,0.12131299823522568
25,58771.42327550008,R,18.762300491333008,0.18791300058364868
27,58775.36179400002,R,18.699800491333008,0.1464039981365204
28,58775.435705999844,g,19.217599868774414,0.1310500055551529
29,58776.460624999825,R,18.97520065307617,0.1339319944381714
31,58778.519490700215,g,19.26449966430664,0.16486500203609467
32,58779.46672450006,g,19.49169921875,0.1369370073080063
33,58783.502338000115,R,19.507699966430664,0.1972920000553131
35,58788.438599499874,g,20.56839942932129,0.2557770013809204
36,58788.542627300136,R,19.398700714111328,0.2129400074481964
38,58791.468854200095,R,19.51740074157715,0.15320299565792084
43,58805.39304400002,R,19.940645217895508,0.21464696526527405
