,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58776.50932870014,R,19.03499984741211,0.1381469964981079
8,58776.51074070018,R,18.975299835205078,0.12099099904298782
9,58776.53207179997,g,18.795799255371094,0.12510299682617188
10,58779.512951400124,g,17.964799880981445,0.05555599927902222
11,58779.51436340017,g,17.965999603271484,0.06571400165557861
12,58785.46773150005,g,17.35849952697754,0.04746999964118004
13,58785.49519680021,R,17.567499160766598,0.06452299654483795
14,58785.507083300035,R,17.579500198364258,0.04548799991607666
15,58789.511840300176,g,17.318199157714847,0.04611700028181076
16,58790.50931710005,R,17.495399475097653,0.041777998208999634
17,58790.53982640012,g,17.335699081420902,0.04347600042819977
18,58792.4851735998,R,17.522699356079098,0.05428100004792213
20,58793.51759260008,R,17.54439926147461,0.055484000593423836
22,58799.47430559992,R,17.877199172973633,0.07973100244998932
23,58799.492060199846,R,17.879100799560547,0.07514200359582901
24,58802.548425899826,g,17.918899536132812,0.06433700025081635
25,58803.42851850018,R,18.13640022277832,0.07453399896621704
27,58806.54174769996,R,18.275999069213867,0.07986299693584442
28,58806.55728009995,R,18.28770065307617,0.07328300178050995
29,58812.4285300998,g,18.796499252319336,0.08675599843263626
30,58812.429942099836,g,18.866500854492188,0.11430200189352036
31,58812.55854169978,R,18.388399124145508,0.07012099772691728
32,58812.55993060023,R,18.383699417114254,0.0731550008058548
34,58827.41999999993,R,19.028200149536133,0.19246500730514526
35,58828.42679399997,R,19.016399383544922,0.12887200713157654
37,58830.42012730008,R,19.13249969482422,0.11137399822473526
39,58831.44973379978,R,18.86739921569824,0.3161579966545105
42,58833.42915510014,R,19.24349975585937,0.1994200050830841
43,58833.44651619997,R,19.305500030517575,0.17125500738620758
44,58833.48565969988,R,19.28660011291504,0.19533400237560272
46,58835.49870370002,R,19.34959983825684,0.1997399926185608
47,58836.48525460018,R,19.39153861999512,0.0896284356713295
48,58836.48525460018,R,19.39150047302246,0.08962800353765488
49,58836.55393519998,g,20.055700302124023,0.11828699707984924
52,58846.470879599925,R,19.59510040283203,0.12619300186634064
53,58846.511678200215,g,20.185400009155273,0.14533600211143494
54,58846.515775499865,g,20.392799377441406,0.2007790058851242
56,58849.432743099984,R,19.768199920654297,0.17128600180149078
57,58849.44841440023,R,19.749900817871094,0.11605700105428696
58,58849.50923610013,g,20.38409996032715,0.2535659968852997
59,58849.51560189994,g,20.32570075988769,0.14619000256061554
60,58850.47795139997,R,19.670299530029297,0.1481190025806427
61,58850.492615699775,R,19.911500930786133,0.17806899547576904
62,58850.52965279994,g,20.301700592041016,0.16384099423885345
63,58850.531932900194,g,20.271799087524414,0.2387859970331192
64,58851.49086809997,R,19.63640022277832,0.1194709986448288
66,58851.50949069997,g,20.33329963684082,0.283594012260437
67,58851.51181709999,g,20.17340087890625,0.16832900047302246
68,58852.41930560023,R,19.8804988861084,0.11980175226926805
69,58852.49020829982,g,20.382699966430664,0.14862099289894104
70,58852.50596059999,g,20.366199493408203,0.19674399495124814
71,58852.55434030014,R,19.84119987487793,0.15730899572372434
72,58853.436446799904,R,19.772518157958984,0.1251171976327896
73,58853.51153940009,g,20.38689994812012,0.21877500414848328
75,58854.476620399866,R,19.704002380371094,0.20064406096935272
