,ant_mjd,ant_passband,ant_mag,ant_magerr
13,58778.49017360015,R,19.87969970703125,0.2020760029554367
14,58778.512905099895,g,19.794300079345703,0.15729300677776334
15,58781.47413189989,g,19.23579978942871,0.1585730016231537
16,58781.49060190003,R,19.171199798583984,0.10754500329494476
17,58784.467685199816,g,18.782699584960934,0.08772099763154984
18,58784.51417820017,R,18.844200134277344,0.12646900117397308
19,58787.51100690012,R,18.61529922485352,0.08631200343370438
20,58789.447430599954,g,18.561199188232425,0.06340300291776657
21,58790.47949070018,R,18.541000366210934,0.06964399665594101
22,58790.53648150014,g,18.607200622558594,0.06317199766635895
23,58791.49271989986,R,18.541099548339844,0.06421499699354173
24,58793.486678199835,R,18.60580062866211,0.07294899970293045
25,58793.52844909997,g,18.71820068359375,0.06899499893188478
26,58796.282986099824,g,18.897199630737305,0.1888989955186844
27,58798.31284719986,R,18.70050048828125,0.1110600009560585
28,58799.34177079982,R,18.794300079345703,0.12331099808216095
30,58800.430138899945,R,18.88455390930176,0.10792381316423416
31,58801.42707179999,R,18.877500534057614,0.3017770051956177
33,58805.47759260005,R,19.10428237915039,0.12281040102243425
34,58805.49144680007,g,19.647802352905273,0.18054381012916565
46,58836.45199069986,R,20.51259994506836,0.209308996796608
47,58846.245555600144,g,20.98189926147461,0.21474899351596832
48,58846.29070599983,R,20.768199920654297,0.22188499569892886
53,58852.42908560018,R,20.873687744140625,0.20673689246177676
