,ant_mjd,ant_passband,ant_mag,ant_magerr
13,58779.314166699995,R,19.122100830078125,0.13787700235843658
14,58779.37479169992,g,18.90089988708496,0.11757300049066545
15,58782.33045140003,R,18.991500854492188,0.12939700484275818
16,58785.327118100126,g,18.783599853515625,0.11945900321006775
17,58789.2730556,R,18.897300720214844,0.12100200355052948
18,58789.34010419994,g,18.81369972229004,0.11900699883699414
19,58793.36226850003,R,18.912399291992188,0.13240699470043182
20,58796.293275500175,R,18.92040061950684,0.1803250014781952
21,58805.19025459979,g,19.46470069885254,0.20250099897384646
22,58805.23163190018,R,19.2234001159668,0.1964160054922104
23,58812.15658560023,g,19.762699127197266,0.1860730051994324
26,58833.23001160008,R,19.319374084472656,0.2145493179559708
