,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58785.502916700214,R,19.299299240112305,0.1072010025382042
11,58785.525069400195,g,19.416799545288086,0.15033000707626346
12,58788.50459490017,g,18.69510078430176,0.09257099777460097
13,58788.52569440008,R,18.586700439453125,0.08340699970722197
14,58790.51523149992,R,18.337299346923828,0.06714700162410736
15,58790.545509300195,g,18.461700439453125,0.09183400124311447
16,58791.51768520009,R,18.172000885009766,0.07136200368404387
17,58791.525312500075,g,18.3710994720459,0.07274899631738663
18,58794.545868100126,g,17.96139907836914,0.058361999690532684
19,58797.53243059991,R,17.593799591064453,0.052193999290466316
20,58800.52693289983,R,17.476999282836914,0.05607600137591362
21,58800.54806709987,g,17.70509910583496,0.06731200218200684
22,58803.42600690015,R,17.424100875854492,0.055052001029253006
23,58806.48755790014,R,17.635400772094727,0.0654899999499321
24,58812.43590279994,g,18.991199493408203,0.09881299734115599
27,58827.33055560011,R,18.715200424194336,0.1260869950056076
28,58827.45726849978,R,18.64349937438965,0.09111300110816956
29,58830.416782400105,R,18.72760009765625,0.13346900045871735
30,58835.441342600156,R,18.874900817871094,0.11913800239562987
31,58837.437245400164,R,19.030500411987305,0.13918399810791016
32,58838.43628469994,R,19.119600296020508,0.27093398571014404
33,58838.45692129992,g,19.506500244140625,0.27416300773620605
34,58846.40572920023,R,19.16399955749512,0.08854400366544724
35,58846.440937499974,R,19.176700592041016,0.11983499675989152
37,58850.444328700185,R,19.153099060058594,0.15884199738502502
38,58853.42526620022,R,19.4512996673584,0.10734499990940094
41,58861.29981479981,R,19.562700271606445,0.2603060007095337
43,58864.206550899886,g,20.21529960632324,0.1915300041437149
44,58864.214594900135,R,19.65010070800781,0.13785600662231445
45,58867.338981499895,R,19.630035400390625,0.14148688316345215
