,ant_mjd,ant_passband,ant_mag,ant_magerr
2,58785.516620399896,R,18.472900390625,0.07494200021028519
3,58789.50640049996,g,18.23290061950684,0.0881199985742569
4,58789.527280100156,R,18.30929946899414,0.07495000213384627
5,58792.50748840022,R,18.231800079345703,0.06135800108313561
7,58798.53590280004,R,18.339099884033203,0.0671520009636879
8,58804.506169000175,g,18.852100372314453,0.15869499742984772
9,58804.54913190008,R,18.877700805664066,0.13559499382972715
13,58830.45694439997,R,19.8656005859375,0.1771329939365387
15,58836.50454859994,R,19.884899139404297,0.16146400570869446
18,58846.4243402998,R,20.217899322509766,0.17090600728988647
19,58846.45572920004,R,20.400299072265625,0.1877399981021881
21,58849.453564799864,R,20.644800186157227,0.2930389940738678
22,58852.441481499925,R,20.61623191833496,0.18625053763389587
