,ant_mjd,ant_passband,ant_mag,ant_magerr
47,58795.25756940013,g,20.169300079345703,0.35497900843620295
48,58795.258506900165,g,19.91220092773437,0.31467199325561523
53,58796.30336809997,R,19.49519920349121,0.18540599942207334
55,58797.23398149992,g,19.69059944152832,0.2796869874000549
56,58797.27027780004,g,19.38710021972656,0.2075510025024414
57,58797.27075230004,g,19.74679946899414,0.30695098638534546
58,58797.32541669997,R,19.26740074157715,0.1826000064611435
59,58797.3272338002,R,19.345699310302734,0.18018800020217896
60,58798.182141200174,g,19.49340057373047,0.30437299609184265
61,58798.183044000056,g,19.54450035095215,0.31687799096107483
63,58798.23931710003,R,19.35980033874512,0.22760899364948275
65,58798.243136600126,R,19.32990074157715,0.2128099948167801
66,58799.257013900205,R,18.872499465942386,0.20302699506282806
67,58799.266296300106,R,19.203500747680664,0.21267400681972504
72,58800.284537000116,R,18.860599517822266,0.2011909931898117
73,58801.22047450022,g,19.030399322509766,0.2692919969558716
74,58801.22475690022,g,19.238300323486328,0.19609899818897247
75,58801.2555670999,R,18.77079963684082,0.22136899828910828
77,58801.2958796001,R,18.79050064086914,0.161654993891716
79,58802.20142359985,g,19.015100479125977,0.12086199969053267
80,58802.20480319997,g,19.001300811767575,0.1680469959974289
81,58802.209838000126,g,19.011499404907227,0.14928999543190002
82,58803.223449099816,g,19.047700881958008,0.14335399866104126
83,58803.26526620006,R,18.739599227905273,0.16525499522686005
85,58803.27743060003,R,18.829099655151367,0.153672993183136
86,58804.201053199824,g,18.939599990844727,0.154106006026268
87,58804.22530090017,R,18.78380012512207,0.1649319976568222
88,58804.24506939994,R,18.706499099731445,0.10062400251626967
89,58805.20510420018,g,19.00819969177246,0.13116499781608582
91,58805.22663189982,R,18.918399810791016,0.12294100224971773
94,58805.33949070005,R,18.851999282836914,0.11471600085496902
95,58806.200104199816,g,18.890499114990234,0.10664000362157823
96,58806.20057869983,g,19.087200164794922,0.14812999963760376
97,58806.23922450003,R,18.728700637817386,0.104373000562191
98,58806.24060190003,R,18.785200119018555,0.1108200028538704
99,58811.16024310003,R,19.07869911193848,0.16432000696659088
100,58811.2212152998,g,19.294300079345703,0.14305700361728668
101,58811.222152799826,g,19.232200622558594,0.19195500016212466
102,58811.23953700018,g,19.2632999420166,0.1408279985189438
103,58811.303414400194,R,18.91080093383789,0.15473699569702148
105,58812.149814799894,g,19.30190086364746,0.17974899709224698
106,58812.18564809999,R,18.90399932861328,0.12164200097322465
107,58812.191713000175,R,19.05030059814453,0.1216910034418106
108,58812.19552080008,R,19.12809944152832,0.1361040025949478
109,58812.197847200085,R,18.959299087524414,0.11829700320959093
110,58812.32355319987,g,19.20170021057129,0.1436080038547516
112,58813.19716440002,g,19.434799194335934,0.29271599650383
113,58814.178449099876,R,18.980100631713867,0.1832589954137802
114,58814.20135420003,R,19.140399932861328,0.17094099521636966
115,58814.20833329996,R,19.057247161865234,0.17131595313549042
