,ant_mjd,ant_passband,ant_mag,ant_magerr
31,58796.296064800124,R,19.80649948120117,0.2352550029754639
32,58801.31079859985,R,19.386600494384766,0.15246200561523438
34,58803.204398099806,g,18.85810089111328,0.09596099704504013
35,58803.270405100186,R,19.05139923095703,0.09872200340032578
36,58803.28707179987,R,19.095699310302734,0.09664300084114076
37,58806.195416700095,g,18.624500274658203,0.08201099932193756
38,58806.24719909997,R,18.78059959411621,0.11701700091362
39,58811.1629745001,R,18.57570075988769,0.06650599837303163
40,58811.19714119983,g,18.47470092773437,0.07832399755716324
41,58811.197592599776,g,18.46619987487793,0.09123200178146362
42,58812.203414400115,R,18.44930076599121,0.07023900002241135
43,58813.16665509995,g,18.418699264526367,0.1261260062456131
45,58814.233321799904,g,18.48970031738281,0.10633999854326248
49,58828.123391199864,g,18.91939926147461,0.19007800519466397
51,58830.20526620001,g,19.49220085144043,0.19261200726032254
53,58831.12124999985,g,19.763900756835934,0.17876200377941132
55,58835.144652800176,g,19.864599227905273,0.4735040068626404
56,58838.14251160016,g,20.31800079345703,0.3028849959373474
57,58846.12723380001,R,19.61240005493164,0.2258719950914383
58,58849.12634260021,g,20.75919914245605,0.2662979960441589
59,58849.14839120022,R,19.659931182861328,0.1314513385295868
