,ant_mjd,ant_passband,ant_mag,ant_magerr
40,58804.3619328998,R,19.541799545288086,0.2665579915046692
41,58805.37015049997,R,19.13689994812012,0.13043999671936035
42,58805.38403940015,R,19.3125,0.17771999537944794
44,58805.49097219994,g,19.32040023803711,0.15251299738883972
45,58805.49707179982,g,19.321199417114254,0.2223249971866608
46,58806.51128470013,R,18.83819961547852,0.10724200308322906
47,58811.42918979983,g,17.752399444580078,0.061388000845909126
48,58811.43151619983,g,17.75149917602539,0.05639899894595146
49,58812.277418999925,R,17.572700500488278,0.06500700116157533
50,58819.23607640015,g,17.377799987792972,0.1287969946861267
51,58819.492800899774,R,17.204399108886722,0.24420900642871854
52,58827.27546299994,R,17.509899139404293,0.06609900295734407
53,58827.27593749993,R,17.519100189208984,0.0566909983754158
54,58827.29962959979,R,17.470500946044922,0.04792800173163414
55,58828.24693290005,R,17.561899185180664,0.09032300114631653
58,58828.452511600226,g,17.578300476074222,0.0700410008430481
59,58830.218263899915,g,17.7677001953125,0.077844999730587
60,58830.29766200018,R,17.75079917907715,0.05871199816465378
61,58830.30601850013,R,17.72089958190918,0.06962200254201889
62,58830.306481500156,R,17.703399658203125,0.06477700173854828
63,58831.42219909978,R,17.799299240112305,0.07652200013399124
64,58833.202048600186,g,18.041099548339844,0.09958499670028688
65,58833.259178199805,R,17.971200942993164,0.05321599915623665
66,58833.27805559988,R,17.913700103759766,0.06315699964761734
68,58833.355393500075,R,17.990800857543945,0.057392001152038574
69,58833.51554400008,g,18.13159942626953,0.1277499943971634
70,58834.228923600174,g,18.186599731445312,0.1265210062265396
72,58835.41581019992,R,18.012800216674805,0.07499899715185165
73,58836.45104169985,R,18.06209945678711,0.07247599959373474
74,58836.45246529997,R,18.024900436401367,0.06463500112295151
75,58837.22093749978,g,18.544099807739254,0.11429200321435927
76,58838.2192245,g,18.73139953613281,0.17601299285888672
78,58846.23865740001,g,19.279199600219727,0.12544600665569305
79,58846.24508100003,g,19.406400680541992,0.11574999988079072
80,58846.28413189994,R,18.20039939880371,0.07611300051212311
81,58846.28506939997,R,18.20599937438965,0.06496399641036987
82,58849.47664349992,g,19.563400268554688,0.19997400045394895
83,58850.45562499993,R,18.38689994812012,0.07330500334501266
84,58850.45609949995,R,18.363000869750977,0.0943479984998703
86,58851.17936340022,g,19.47949981689453,0.27897900342941284
87,58851.42710650014,R,18.51289939880371,0.0941080003976822
88,58852.47280090022,g,19.851900100708008,0.15539899468421936
89,58853.44920139993,g,19.930299758911133,0.20573000609874725
90,58853.46333329986,g,19.867300033569336,0.141402006149292
91,58854.165115700096,R,18.58799934387207,0.15404599905014038
93,58854.447418999865,R,18.603700637817386,0.14238899946212769
95,58855.18043980002,g,19.479400634765625,0.2096090018749237
101,58859.23084490001,R,18.90900039672852,0.13010799884796145
102,58859.24944439996,R,18.93980026245117,0.14776499569416046
103,58859.2503819,R,18.935100555419922,0.15484599769115448
106,58860.19126159978,R,19.01499938964844,0.13811300694942474
108,58860.23454859993,R,19.024999618530273,0.1658409982919693
110,58861.117708299775,g,20.12339973449707,0.2528299987316132
111,58861.13974539982,R,19.069499969482425,0.18756599724292755
112,58861.20505789992,R,18.890300750732425,0.15483500063419342
114,58862.212731500156,R,19.101999282836914,0.1159529983997345
115,58862.30750000012,R,19.1835994720459,0.1231210008263588
116,58862.3084028,R,19.113500595092773,0.12688599526882172
119,58863.19843749981,R,19.121000289916992,0.24348999559879306
121,58864.132939800154,g,20.130599975585934,0.19627000391483307
122,58864.15513890004,g,20.19700050354004,0.17144300043582916
124,58864.22202550016,R,19.0939998626709,0.10179899632930756
125,58867.19568290003,g,20.329200744628906,0.2863160073757172
126,58867.21898149978,g,20.344200134277344,0.24927100539207456
127,58867.24444440008,R,19.19599914550781,0.14647400379180908
128,58867.26622689982,R,19.312299728393555,0.12465900182724
130,58871.23819439997,R,19.396499633789066,0.14842499792575836
131,58872.19924770017,g,20.343700408935547,0.2153560072183609
132,58872.200625000056,g,20.26000022888184,0.16038300096988678
133,58873.1709143999,R,19.52109909057617,0.12890799343585968
134,58873.19010420004,R,19.61090087890625,0.11614900082349774
135,58874.19818289997,g,20.08699989318848,0.23873500525951385
138,58875.21466440009,R,19.681699752807614,0.15477700531482694
139,58875.21560190013,R,19.625099182128906,0.10436899960041046
140,58876.18237269996,g,20.366100311279297,0.20157699286937714
141,58876.18475690018,g,20.48710060119629,0.1809930056333542
142,58877.217222199775,g,20.22360038757324,0.20697300136089325
143,58877.25884260005,R,19.54439926147461,0.11943099647760393
145,58878.183958299924,R,19.52140045166016,0.2181839942932129
150,58880.188750000205,R,19.742900848388672,0.20301200449466705
151,58880.203414400115,R,19.739299774169922,0.15997900068759918
154,58881.16471059992,g,20.397899627685547,0.2692359983921051
155,58881.16517359996,g,20.4242000579834,0.3362959921360016
164,58886.136469900135,R,19.64069938659668,0.1934950053691864
170,58892.28322920018,R,20.016700744628906,0.2752240002155304
171,58893.19285879983,g,20.6254997253418,0.2907080054283142
173,58895.160370400175,g,20.747299194335934,0.23289799690246585
174,58895.16263889987,g,20.522499084472656,0.2639369964599609
178,58898.142233800136,R,20.270334243774414,0.2163613587617874
180,58898.20234949981,g,20.94750022888184,0.3322469890117645
181,58898.203738399774,g,20.702899932861328,0.2208610028028488
183,58899.13793980004,R,20.168045043945312,0.19019699096679688
