,ant_mjd,ant_passband,ant_mag,ant_magerr
3,58812.554374999825,R,18.914100646972656,0.1251779943704605
5,58823.51157409978,g,18.23500061035156,0.1631930023431778
6,58828.42395830015,R,18.06110000610352,0.06307300180196762
7,58828.550162000116,g,18.575899124145508,0.13714100420475006
8,58831.4536342998,R,18.26849937438965,0.09271399676799774
9,58831.54938660003,g,18.627599716186523,0.13610999286174774
10,58833.47377309995,R,18.307300567626953,0.0943169966340065
11,58834.503032399814,R,18.48859977722168,0.1620669960975647
12,58837.463969899814,R,18.47640037536621,0.093641996383667
13,58837.51358800009,g,19.008699417114254,0.12323399633169176
14,58846.45362270017,R,18.75200080871582,0.0905890017747879
15,58849.45031249988,R,18.929100036621094,0.10270699858665466
17,58852.44329860015,R,18.94650077819824,0.09387899935245514
21,58855.53630790021,R,19.013500213623047,0.10785099864006042
26,58866.3558565001,R,19.54087829589844,0.15306350588798526
