,ant_mjd,ant_passband,ant_mag,ant_magerr
21,59097.42799769994,g,18.994600296020508,0.17103099822998047
22,59097.474062500056,R,18.903200149536133,0.1272599995136261
23,59099.388217600055,g,18.753999710083008,0.13865500688552854
26,59102.469004599836,g,18.40073776245117,0.17640720307826996
28,59104.44274310023,R,18.561372756958008,0.1753591150045395
30,59106.35739579982,R,18.51649475097656,0.08771076053380966
32,59106.41077549989,g,18.65583610534668,0.18346905708312988
35,59107.40802079997,g,18.6396541595459,0.09364063292741777
37,59107.43379630009,R,18.48789978027344,0.08640100061893463
38,59108.36311340006,g,18.795137405395508,0.126105934381485
41,59108.468518500216,R,18.49327850341797,0.08611375838518143
43,59109.36356480001,g,18.75200080871582,0.1722330003976822
44,59109.43061339995,R,18.568599700927734,0.09189900010824203
46,59110.34254630003,g,18.69106674194336,0.12817789614200592
51,59111.36185189989,g,18.828676223754886,0.1196470782160759
53,59111.43425930013,R,18.52298355102539,0.08546895533800125
56,59112.50667819986,g,18.76460075378418,0.08606600016355515
59,59113.40715279988,g,18.88291549682617,0.12203080207109453
60,59113.43295140006,R,18.535476684570312,0.0733296349644661
62,59114.34598380001,g,18.907649993896484,0.10069289058446884
65,59115.384062500205,R,18.70078659057617,0.08061594516038895
69,59117.37826390006,R,18.948406219482425,0.12352962046861647
75,59120.31231479999,g,19.52869987487793,0.27367401123046875
76,59120.450659700204,g,19.41098403930664,0.11077351868152617
77,59120.50090279988,R,19.15346336364746,0.11568457633256912
81,59122.51423610003,R,19.065155029296875,0.1274094432592392
91,59125.47524309997,R,19.13346290588379,0.1614677906036377
105,59134.45964120002,R,19.23428726196289,0.1626650243997574
