,ant_mjd,ant_passband,ant_mag,ant_magerr
6,58829.3292129999,R,18.339599609375,0.09917899966239928
7,58833.14285880001,g,18.32559967041016,0.07179299741983414
8,58833.23262730008,R,18.25379943847656,0.07917600125074388
9,58833.341527800076,R,18.34269905090332,0.13679100573062894
10,58835.14188659983,g,18.527999877929688,0.2827300131320953
11,58836.13861110015,g,18.454099655151367,0.0742570012807846
12,58836.46410880005,R,18.21660041809082,0.06930699944496155
13,58837.13246530014,g,18.564599990844727,0.07852300256490707
14,58838.13892359985,g,18.58699989318848,0.18931399285793304
15,58838.245243099984,R,18.169700622558594,0.1734119951725006
17,58846.262592600186,R,18.643999099731445,0.0908460021018982
19,58849.1547801001,R,18.73740005493164,0.08993200212717056
20,58850.1343866,R,18.768800735473636,0.14537200331687927
23,58851.42856479995,R,18.7775993347168,0.11413499712944032
26,58853.177523099825,R,19.01490020751953,0.2013860046863556
29,58855.32537040021,R,18.938600540161133,0.1169399991631508
31,58856.15358800023,R,19.0575008392334,0.10526499897241592
32,58856.18136569997,R,18.853599548339844,0.1062769964337349
34,58859.196006900165,R,19.160999298095703,0.18775999546051025
35,58860.14920140012,R,19.285499572753906,0.19232100248336792
36,58860.25659719994,R,19.055700302124023,0.14916600286960602
38,58861.13049770008,R,19.199100494384766,0.12941999733448029
40,58862.21069440013,R,19.292499542236328,0.16390499472618106
43,58864.14714120002,g,20.577699661254886,0.2668130099773407
46,58867.263842599925,R,19.543983459472656,0.17665989696979525
