,ant_mjd,ant_passband,ant_mag,ant_magerr
9,58828.428645799875,R,17.547000885009766,0.04973600059747696
10,58831.43680559984,R,17.196399688720707,0.05452099815011025
11,58831.45178239979,R,17.236700057983402,0.040525998920202255
12,58831.55318289995,g,17.92169952392578,0.05966199934482575
13,58833.436550899874,R,16.95009994506836,0.035638999193906784
14,58834.510254600085,R,17.090599060058597,0.05771199986338616
15,58837.44706019992,R,16.92650032043457,0.05043400079011917
16,58837.45673609991,R,16.92099952697754,0.04003499820828438
17,58837.49906249996,g,17.803800582885742,0.05679300054907799
18,58846.43119210005,R,17.46299934387207,0.04355800151824951
19,58846.474097200204,R,17.499200820922848,0.04238199815154076
20,58846.50804399978,g,18.877500534057614,0.08715499937534332
21,58849.443761600174,R,17.729299545288086,0.04647500067949295
22,58849.51886569987,g,19.029300689697266,0.09742700308561324
23,58851.45258100005,R,17.81279945373535,0.0640299990773201
24,58852.447986099876,R,17.930299758911133,0.050314001739025116
28,58855.52803240017,R,18.08180046081543,0.055309999734163284
30,58860.30303240009,R,18.22010040283203,0.1298920065164566
31,58860.38880789978,R,18.488117218017575,0.15975822508335116
