,ant_mjd,ant_passband,ant_mag,ant_magerr
15,58831.08888889988,R,18.308799743652344,0.07724899798631668
16,58831.10825229995,g,18.528200149536133,0.1011200025677681
17,58835.09046299989,R,17.575799942016598,0.07686100155115128
18,58835.132326399915,g,17.71030044555664,0.1600860059261322
19,58837.07228010008,R,17.328899383544922,0.03795500099658966
20,58838.09750000015,R,17.23069953918457,0.035882998257875436
21,58838.12069439981,g,17.371200561523438,0.061234001070260995
22,58846.10209489986,g,17.276599884033207,0.03784799948334694
23,58846.11344909994,R,17.035600662231445,0.028658999130129814
24,58849.12216439982,g,17.40169906616211,0.035934999585151665
26,58850.14989579981,g,17.438499450683597,0.05485700070858002
27,58853.08173609991,R,17.41510009765625,0.05740199983119965
28,58853.091620400075,g,17.678600311279297,0.05571800097823143
29,58853.14048610022,R,17.381200790405273,0.058584000915288925
30,58854.13668979983,R,17.531000137329098,0.06156399846076965
33,58859.15622689994,R,17.740100860595703,0.06012599915266038
34,58862.12261570013,g,18.52359962463379,0.06033499911427497
36,58872.12435190008,R,17.997100830078125,0.058591000735759735
37,58872.16229170003,g,19.367000579833984,0.1742659956216812
38,58875.0948379999,R,18.168699264526367,0.05064700171351433
39,58875.13672449999,g,19.605100631713867,0.14199399948120114
41,58878.1323032002,R,18.464799880981445,0.16644899547100067
42,58881.123368099805,R,18.56679916381836,0.07040499895811081
43,58881.13290510001,g,19.797700881958008,0.3432230055332184
44,58885.10270830012,g,19.7091007232666,0.26513299345970154
45,58885.13476849999,R,18.62550544738769,0.14937235414981842
