,ant_mjd,ant_passband,ant_mag,ant_magerr
9,58830.442893499974,R,19.79800033569336,0.2644290030002594
10,58830.44379629986,R,19.955699920654297,0.3265199959278107
11,58830.550243100144,g,19.84869956970215,0.25478801131248474
13,58835.462557900224,R,19.315799713134766,0.2148659974336624
14,58835.50731479983,g,19.174400329589844,0.13092400133609772
15,58835.508761600126,g,19.315799713134766,0.18943999707698825
18,58838.47782409983,g,18.94700050354004,0.26426300406455994
19,58838.5056713,R,18.988500595092773,0.2562069892883301
20,58849.426597199876,R,18.655000686645508,0.09240599721670152
21,58849.42750000022,R,18.71199989318848,0.09906399995088576
22,58849.46298609999,g,19.125600814819336,0.11931800097227095
23,58849.48104170011,g,19.175899505615234,0.13265900313854218
24,58852.43510420014,R,18.904199600219727,0.12507900595664978
25,58852.43690969981,R,18.96109962463379,0.08056599646806717
26,58852.479606499895,g,19.38629913330078,0.12145200371742247
27,58855.36079860013,R,19.07979965209961,0.14138300716876984
28,58855.460821799934,g,20.111099243164066,0.2120549976825714
29,58855.46172450018,g,19.88479995727539,0.2375890016555786
30,58859.31957180007,R,18.964500427246094,0.1900230050086975
31,58862.334398100145,R,19.496999740600586,0.26208800077438354
32,58862.34168979991,R,19.184499740600586,0.15258799493312836
35,58866.341585599825,R,19.534284591674805,0.20223176479339602
