,ant_mjd,ant_passband,ant_mag,ant_magerr
9,58833.268680599984,R,19.995500564575195,0.2950479984283447
10,58837.214965300176,g,18.36440086364746,0.06638599932193756
11,58837.234201400075,R,18.563400268554688,0.06562899798154831
13,58850.18490740005,g,18.05270004272461,0.048815999180078506
15,58859.126550899826,g,18.04170036315918,0.08926200121641159
16,58859.18927079997,R,17.96030044555664,0.05748200044035912
17,58860.18421299989,R,17.977800369262695,0.06866399943828583
18,58861.17505790014,R,18.000600814819336,0.04635300114750862
19,58862.144189800136,g,18.13520050048828,0.06418599933385849
20,58867.146655099925,g,18.12689971923828,0.21805399656295776
21,58871.14918980002,g,18.44580078125,0.09653999656438828
22,58875.12429400021,R,18.46339988708496,0.0664760023355484
23,58878.14542819979,R,18.640100479125977,0.13967999815940854
24,58878.19515050016,g,18.8976993560791,0.1523679941892624
25,58884.12386569986,g,19.086000442504886,0.3536509871482849
26,58887.12516199984,R,19.149799346923828,0.12587900459766388
28,58891.12278940016,R,19.47949981689453,0.13847999274730682
29,58891.165798599824,g,19.975000381469727,0.23984700441360474
30,58894.12667819997,R,19.55186653137207,0.14191469550132751
