,ant_mjd,ant_passband,ant_mag,ant_magerr
5,58846.46143520017,R,18.89389991760254,0.0943949967622757
6,58849.49989579991,g,18.53619956970215,0.07735099643468857
8,58852.458530100055,R,18.64640045166016,0.08221700042486191
9,58852.48104170011,g,18.535999298095703,0.08830799907445908
10,58853.49035880017,g,18.538400650024414,0.0717030018568039
11,58855.48115740017,g,18.56279945373535,0.07601399719715117
12,58855.53865739983,R,18.628299713134766,0.05706699937582016
13,58859.365405099925,R,18.705900192260746,0.1258230060338974
14,58860.396157400224,R,18.822900772094727,0.12294799834489822
15,58864.33931710013,R,19.04800033569336,0.10067900270223618
16,58867.355428200215,R,19.164600372314453,0.104543998837471
17,58867.41665509995,g,19.473499298095703,0.1290140002965927
18,58873.31686339992,R,19.306900024414066,0.1313360035419464
19,58873.397986100055,g,19.833200454711914,0.13525600731372833
20,58876.33927079989,R,19.437400817871094,0.10613299906253816
21,58876.38179400005,g,20.19860076904297,0.19292600452899933
22,58879.362488400184,R,19.469900131225586,0.27599701285362244
24,58883.285659700174,R,19.7322998046875,0.223350003361702
26,58886.295243099805,R,19.567472457885746,0.17831887304782867
