,ant_mjd,ant_passband,ant_mag,ant_magerr
5,58856.550416700076,g,20.036500930786133,0.15538500249385834
6,58856.56892360003,R,20.263399124145508,0.27369898557662964
7,58861.51429399987,g,18.808799743652344,0.14598099887371066
8,58861.5472569,R,19.29789924621582,0.2129410058259964
9,58864.468553199906,g,18.64080047607422,0.09385400265455246
10,58864.5074306,R,18.74399948120117,0.15934300422668454
11,58872.43285880005,g,18.5039005279541,0.06962600350379944
12,58872.568148099825,R,18.717100143432614,0.06924500316381453
13,58875.489826399826,g,18.69849967956543,0.10073599964380264
14,58875.55094909994,R,18.850799560546875,0.10438399761915207
15,58878.52916669985,g,18.86599922180176,0.11484400182962418
16,58878.55271989992,R,18.90089988708496,0.11231599748134613
17,58881.51469910005,g,19.075199127197266,0.09387599676847458
18,58881.55408560018,R,19.075300216674805,0.10502800345420836
20,58884.54460649983,R,19.135799407958984,0.12993299961090088
21,58887.45593750012,g,19.702800750732425,0.2415190041065216
22,58887.54479169985,R,19.30349922180176,0.16608799993991852
25,58893.490393499844,g,20.151100158691406,0.217288002371788
26,58893.531516199924,R,19.46839904785156,0.12240900099277495
27,58898.51567129978,R,19.62030029296875,0.12454599887132645
28,58898.54827550008,g,20.67460060119629,0.27360400557518005
29,58899.507557900164,R,19.706100463867188,0.1449420005083084
30,58899.53526620008,g,20.67959976196289,0.2702600061893463
33,58903.51020829986,R,19.8596305847168,0.1275130957365036
