,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58856.55671299994,g,20.29680061340332,0.22941599786281586
11,58856.57214119983,R,19.967500686645508,0.2164890021085739
12,58859.49560189992,R,19.051000595092773,0.12801100313663485
13,58863.451562500086,g,18.154199600219727,0.06787700206041336
14,58872.447511599865,g,17.835800170898438,0.06414499878883362
15,58872.55262729991,R,17.881500244140625,0.06314399838447571
16,58875.49456019978,g,17.92650032043457,0.06765499711036682
17,58875.530381899785,R,17.931499481201172,0.05842800065875053
18,58878.50776620022,g,18.10330009460449,0.08219999819993973
19,58878.549074099865,R,18.04960060119629,0.08341600000858307
20,58881.49214120022,g,18.38089942932129,0.07722699642181396
21,58881.56054400001,R,18.22330093383789,0.06590499728918076
22,58884.474942099776,g,18.648500442504886,0.08635800331830977
23,58884.55292819999,R,18.41819953918457,0.08580400049686432
24,58887.47372689982,g,19.026199340820312,0.13715000450611115
25,58887.528715299915,R,18.540599822998047,0.08500300347805023
26,58890.47245369991,R,18.53019905090332,0.1533609926700592
27,58890.55843750015,g,19.293500900268555,0.20577900111675265
28,58890.56464120001,g,19.39900016784668,0.2933390140533447
29,58893.47061339999,g,19.563800811767575,0.13978299498558044
30,58893.516481500126,R,18.618900299072266,0.09388399869203568
31,58898.445983800106,g,20.23259925842285,0.15577499568462372
32,58898.492337999865,R,18.867599487304688,0.07180000096559525
33,58899.42777779978,g,20.12360000610352,0.2091580033302307
34,58899.48699070001,R,18.920700073242188,0.0872969999909401
35,58900.47738429997,R,19.044700622558594,0.10764200240373613
37,58901.45280090022,R,18.951099395751953,0.1114870011806488
38,58903.454189800184,R,19.144500732421875,0.10448899865150453
39,58903.54046300008,g,20.62969970703125,0.244376003742218
40,58904.44797449977,g,20.509300231933594,0.2582780122756958
41,58904.489513900124,R,19.20159912109375,0.1083799973130226
42,58906.46170140012,R,19.209199905395508,0.12450899928808212
43,58906.53715279978,g,20.239500045776367,0.21933099627494806
44,58908.463993099984,R,19.542999267578125,0.1182669997215271
45,58908.53295140015,g,20.59079933166504,0.3101789951324463
47,58911.48501159996,R,19.487300872802734,0.17587099969387054
48,58912.49689809977,R,19.599445343017575,0.1521545648574829
50,58913.498368099805,R,19.593599319458008,0.1943729966878891
51,58913.5109490999,g,20.727399826049805,0.35476401448249817
53,58914.512766200125,R,19.761743545532227,0.15952134132385254
