,ant_mjd,ant_passband,ant_mag,ant_magerr
0,58859.463009300176,R,19.18790054321289,0.16481000185012815
1,58872.54546299996,R,18.75919914245605,0.07728700339794159
2,58875.479467600126,g,18.954200744628906,0.11400800198316575
3,58878.54392360012,R,18.946800231933594,0.13171200454235074
4,58881.5400231001,R,19.069499969482425,0.1121399998664856
5,58884.4599421001,g,19.632400512695312,0.1909630000591278
6,58884.498101899866,R,19.304500579833984,0.17613500356674194
8,58887.482268500135,R,19.4601993560791,0.17384399473667145
9,58893.503055599984,R,19.607799530029297,0.227961003780365
10,58898.41856480017,g,20.59429931640625,0.23133599758148196
11,58898.460706000216,R,19.727500915527344,0.15594400465488434
12,58901.418449100114,R,19.76020050048828,0.150628000497818
14,58904.4750926001,R,19.98240089416504,0.2694990038871765
16,58908.45420139981,R,20.0378360748291,0.2033853381872177
