,ant_mjd,ant_passband,ant_mag,ant_magerr
0,58873.53505790001,R,17.635499954223633,0.05283699929714203
1,58876.53627309995,g,17.177099227905273,0.042075000703334815
2,58876.57456019986,R,17.19379997253418,0.05452999845147133
3,58879.50464119995,g,17.013500213623047,0.07100799679756165
4,58879.540937500075,R,17.038000106811527,0.06304600089788437
5,58885.46679400001,g,17.05769920349121,0.054248001426458366
6,58885.54353010002,R,16.958799362182614,0.04030900076031685
7,58888.510254600085,R,17.167600631713867,0.056876998394727714
8,58891.474664399866,g,17.427900314331055,0.051493000239133835
9,58894.540856500156,R,17.655799865722656,0.048280000686645515
10,58894.55930559988,g,17.728300094604492,0.06073100119829177
11,58898.52376159978,R,17.792800903320312,0.056393999606370926
12,58898.56165509997,g,18.19440078735352,0.06748399883508682
13,58904.52422450018,R,17.84600067138672,0.06567499786615373
14,58904.5525463,g,18.90920066833496,0.1479569971561432
15,58908.51386569999,R,18.10409927368164,0.05444600060582161
16,58908.51386569999,R,18.10409927368164,0.05444600060582161
17,58911.50379629992,R,18.369600296020508,0.08034099638462068
18,58911.537430599805,g,19.39299964904785,0.15025000274181366
19,58914.464050900184,g,19.620899200439453,0.15940499305725098
20,58914.535983799964,R,18.602399826049805,0.0781949982047081
22,58936.498437500086,g,20.130420684814453,0.2022234946489334
