,ant_mjd,ant_passband,ant_mag,ant_magerr
21,58879.19547449984,g,19.346399307250977,0.15918999910354614
22,58879.286296300124,R,19.66629981994629,0.19190600514411926
23,58880.20848379983,R,19.459299087524414,0.10470499843358994
24,58881.193136599846,g,19.023099899291992,0.12154199928045273
25,58881.26839119988,R,19.26129913330078,0.09700500220060347
26,58882.16068289987,R,19.15489959716797,0.1336670070886612
28,58884.20336809987,R,18.872600555419922,0.14105400443077087
29,58891.24513889988,g,18.41209983825684,0.08830700069665909
30,58892.28607639996,R,18.55909919738769,0.07988700270652771
31,58894.24273149995,R,18.571800231933594,0.07355400174856186
32,58895.20309029985,g,18.54730033874512,0.08194000273942947
33,58898.163622700136,R,18.712400436401367,0.06651599705219269
34,58899.30954860012,R,18.803600311279297,0.07719200104475021
35,58900.185161999885,R,18.791799545288086,0.11375799775123595
36,58900.2980324002,g,18.941499710083008,0.12108399718999865
37,58903.17978010001,R,19.037500381469727,0.09245699644088744
38,58903.18023149995,R,18.99029922485352,0.09064000099897383
39,58904.164189800154,g,19.251300811767575,0.12595300376415253
40,58905.20061339997,R,18.944299697875977,0.12465500086545946
41,58906.142731499865,g,19.513599395751953,0.14721199870109558
42,58906.19077550016,R,19.100000381469727,0.1143369972705841
43,58906.258495400194,g,19.404600143432614,0.14782899618148804
44,58909.1140509001,R,19.29389953613281,0.19099900126457212
46,58909.20769680013,g,19.61669921875,0.2757109999656677
47,58912.13556709979,g,19.957799911499023,0.2836199998855591
48,58912.17053239979,R,19.277708053588867,0.1373656839132309
