,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58875.525740699835,R,20.845600128173828,0.3165960013866425
8,58878.503564800136,g,19.889299392700195,0.16853800415992734
9,58881.497280099895,g,19.41110038757324,0.09324900060892104
11,58884.464027800124,g,19.10169982910156,0.10711000114679337
12,58887.444861100055,g,19.01919937133789,0.1405559927225113
13,58887.541967600126,R,19.23270034790039,0.13229799270629886
14,58890.460127300124,R,18.98539924621582,0.17465099692344666
15,58893.457361099776,g,19.0275993347168,0.09647499769926073
16,58893.502071800176,R,19.100799560546875,0.11622600257396698
17,58898.458090300206,g,19.322599411010746,0.09859800338745116
18,58898.500289400115,R,19.408599853515625,0.11786700040102005
19,58901.4369212999,R,19.482200622558594,0.1312129944562912
20,58904.42260419997,g,19.79669952392578,0.15275299549102786
21,58904.4973726999,R,19.651500701904297,0.12988899648189545
23,58908.530173600186,g,19.747900009155273,0.14296700060367584
24,58911.430786999874,g,20.45800018310547,0.23302599787712094
25,58911.461747699876,R,19.799400329589844,0.17696499824523926
26,58914.50903940015,R,20.045337677001953,0.1907232850790024
