,ant_mjd,ant_passband,ant_mag,ant_magerr
16,58885.440231500186,g,19.585599899291992,0.32476899027824396
17,58885.48643520009,R,19.55279922485352,0.3033890128135681
19,58888.27371530003,g,18.92989921569824,0.2994480133056641
20,58888.419513899826,R,18.827199935913086,0.2102960050106049
21,58892.31173609988,R,18.377399444580078,0.11552199721336365
22,58892.314606499865,R,18.37430000305176,0.10187800228595734
23,58892.35592589992,g,18.2775993347168,0.09893599897623062
24,58892.37775459979,g,18.268800735473636,0.0966549962759018
25,58895.380891200155,g,18.068199157714844,0.07098499685525894
26,58895.423483800136,R,18.22170066833496,0.0673070028424263
27,58895.423946800176,R,18.247299194335934,0.09768299758434296
28,58898.334930600126,R,18.257699966430664,0.08141399919986725
30,58898.35531250015,R,18.144500732421875,0.07308100163936615
31,58898.37734950008,g,18.07469940185547,0.05799100175499916
33,58901.37696760008,R,18.160999298095703,0.07405100017786026
35,58904.24969909992,R,18.3966007232666,0.08790700137615204
36,58905.31284719986,g,18.31279945373535,0.11900799721479415
37,58911.35760420003,g,18.862300872802734,0.13660399615764618
38,58912.4000116,R,18.72491836547852,0.12428849935531615
39,58915.23291670019,g,19.416900634765625,0.3002359867095947
40,58915.37537040003,R,18.99337387084961,0.1733926087617874
