,ant_mjd,ant_passband,ant_mag,ant_magerr
33,58894.53721059999,R,19.77680015563965,0.19787900149822235
34,58894.55236109997,g,20.080699920654297,0.2511729896068573
37,58898.531539400115,R,19.13010025024414,0.1544329971075058
38,58898.55745369988,g,19.13479995727539,0.13196900486946106
39,58899.5089699002,R,18.95400047302246,0.10838600248098372
40,58899.53760420019,g,18.994699478149414,0.11738599836826324
41,58900.50660880003,R,18.914600372314453,0.13190799951553345
42,58900.54013889981,g,18.83930015563965,0.16740399599075315
43,58903.51682869997,R,18.62849998474121,0.07791800051927568
44,58904.52745370008,R,18.608299255371094,0.12003599852323532
45,58904.5589815001,g,18.604400634765625,0.12895099818706512
46,58905.5297801001,g,18.514299392700195,0.12240199744701385
47,58906.5146296001,R,18.51650047302246,0.11729300022125246
48,58906.52663190012,g,18.5762996673584,0.11636699736118315
49,58908.51063660019,R,18.585100173950195,0.0924770012497902
50,58908.51063660019,R,18.585100173950195,0.0924770012497902
51,58908.55267360015,g,18.65660095214844,0.08634799718856813
52,58908.55267360015,g,18.65660095214844,0.08634799718856813
53,58911.51019679987,R,18.65900039672852,0.08349499851465225
54,58911.53133099992,g,18.710599899291992,0.11379799991846085
55,58912.49538190012,R,18.636999130249023,0.07898399978876114
56,58912.53407410019,g,18.861299514770508,0.08640400320291519
57,58913.496875000186,R,18.764400482177734,0.09821400046348573
58,58913.5322106001,g,18.959699630737305,0.11358299851417543
60,58914.52653940023,R,18.76580047607422,0.10367000102996826
61,58915.46988430014,g,19.02440071105957,0.1862110048532486
63,58915.529050900135,R,18.793399810791016,0.10561999678611757
65,58936.514085600145,R,19.530099868774414,0.16627299785614014
73,58943.493159700185,R,19.90489959716797,0.2827489972114563
75,58944.50930560008,R,20.045381546020508,0.21639534831047055
