,ant_mjd,ant_passband,ant_mag,ant_magerr
11,58899.519050899886,R,19.447099685668945,0.14200599491596222
12,58904.505034700036,R,18.95840072631836,0.10858699679374696
13,58904.54569440009,g,18.807600021362305,0.09838099777698517
14,58908.485625000205,R,18.7455997467041,0.10680299997329712
15,58908.485625000205,R,18.7455997467041,0.10680299997329712
17,58911.499131899785,R,18.83919906616211,0.23820799589157104
18,58911.52310189977,g,18.8794002532959,0.1136069968342781
19,58914.43950230022,g,19.07040023803711,0.1356160044670105
20,58914.52084490005,R,19.10110092163086,0.1210239976644516
22,58936.439861100174,R,20.01314926147461,0.2116847038269043
