,ant_mjd,ant_passband,ant_mag,ant_magerr
5,58943.50131940004,R,19.049699783325195,0.14659400284290314
6,58944.48679400002,g,19.8346004486084,0.2265480011701584
10,58954.48666669987,R,19.007999420166016,0.165583997964859
13,58962.46415509983,R,19.06060028076172,0.11614400148391725
15,58962.48496530019,g,19.894800186157227,0.2323800027370453
20,58968.47722220003,g,19.947900772094727,0.1627960056066513
22,58971.402974499855,R,19.06734848022461,0.10257869213819504
27,58974.48836810003,g,19.91119956970215,0.19223499298095706
32,58977.448796300225,R,19.10980033874512,0.181999996304512
34,58977.471203700174,R,19.03770065307617,0.17458799481391907
38,58980.47881940008,R,18.99659919738769,0.1250620037317276
45,58997.40298609994,g,20.224000930786133,0.19196900725364685
55,59009.393298599876,R,19.25160026550293,0.1968660056591034
56,59012.29148150002,R,19.28394317626953,0.1210632398724556
