,ant_mjd,ant_passband,ant_mag,ant_magerr
6,58939.338136599865,g,19.023700714111328,0.13727399706840515
7,58939.373333300005,R,18.153200149536133,0.09861999750137328
8,58940.35935189994,g,16.62350082397461,0.08636999875307083
9,58941.26677080012,g,16.66670036315918,0.042121000587940216
10,58954.254907399874,R,15.531200408935547,0.04568799957633018
11,58955.26820599986,R,15.536199569702148,0.0344570018351078
12,58955.30061340006,g,16.533199310302734,0.04965100064873696
13,58956.26534719997,R,15.539999961853027,0.02559100091457367
14,58962.232036999885,g,16.702199935913086,0.042408999055624015
15,58962.26839119988,R,15.518799781799315,0.04122800007462502
16,58965.231840299915,g,16.783899307250973,0.03993399813771248
17,58965.287141200155,R,15.557600021362305,0.04241099953651428
18,58967.22750000004,g,16.892400741577152,0.04093800112605095
19,58968.20179399987,R,15.571999549865724,0.041820000857114785
20,58968.27284719981,g,16.897199630737305,0.04455000162124634
21,58971.21298609999,R,15.57252311706543,0.0382867343723774
22,58971.275601900175,g,17.000909805297848,0.04199514165520668
23,58975.20302079991,R,15.625900268554688,0.030579000711441037
24,58975.24972219997,g,17.095500946044922,0.04646899923682213
25,58978.170254599776,g,17.16659927368164,0.04924499988555908
26,58978.248356500175,R,15.626199722290039,0.03798500075936317
27,58981.20068289992,g,17.255300521850586,0.05305799841880798
28,58981.249583300196,R,15.67389965057373,0.020681999623775482
29,58985.16799770017,g,17.375,0.04989099875092506
30,58991.170601900194,g,17.460800170898438,0.06610900163650513
31,58991.228124999914,R,15.726699829101562,0.04202000051736832
32,58997.203530100174,g,17.60930061340332,0.05719200149178505
33,59005.18629630003,g,17.77429962158203,0.06308700144290924
34,59009.231955999974,g,17.799999237060547,0.06920599937438965
35,59014.20033559995,g,17.8700008392334,0.060812000185251236
36,59014.22953699995,R,15.853699684143065,0.035649001598358154
37,59017.23571760021,R,15.888099670410154,0.038343001157045364
38,59020.19826389988,g,17.998933792114258,0.07147518545389175
39,59020.23685189989,R,15.850865364074707,0.03481806069612503
40,59023.214884299785,g,18.000173568725586,0.08733369410037994
41,59026.21723379986,g,18.032846450805664,0.054260414093732834
42,59032.19708329997,g,18.218860626220703,0.08461222052574158
43,59032.21487270017,R,16.009288787841793,0.034562624990940094
44,59037.23555559991,g,18.342256546020508,0.145578533411026
46,59173.52446760005,R,19.19809913635254,0.19104500114917755
48,59176.561122700106,R,19.17534637451172,0.19551168382167816
49,59179.52749999985,R,19.441463470458984,0.21075420081615448
51,59184.50622690003,R,19.262779235839844,0.15463726222515106
57,59195.50722219981,R,19.668399810791016,0.22312000393867493
59,59198.46246530023,R,19.61366271972656,0.21661050617694852
62,59200.52594910003,R,19.342374801635746,0.20863042771816254
66,59217.410520799924,R,19.59119987487793,0.25225400924682617
67,59221.447592599776,R,19.681583404541016,0.1975647360086441
70,59223.46844909992,R,19.652387619018555,0.16394810378551486
71,59248.43872690015,R,20.05590057373047,0.3114500045776367
73,59250.41983800009,R,19.88400077819824,0.24256199598312375
77,59254.4227661998,R,20.04159927368164,0.23167000710964206
78,59256.421608800076,R,20.27090072631836,0.22145700454711914
87,59269.373449100174,R,20.018739700317386,0.19289009273052216
