,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58955.41488429997,g,18.193199157714844,0.06456799805164337
8,58955.437372699846,R,18.20050048828125,0.0344729982316494
9,58956.348842599895,R,18.19440078735352,0.04688400030136109
10,58956.39291669987,g,18.11989974975586,0.0720129981637001
11,58962.370590299826,g,18.14949989318848,0.05135099962353706
12,58963.38159719994,g,18.162799835205078,0.04423600062727928
13,58964.3839004999,g,18.222400665283203,0.04742899909615517
14,58964.42465279997,R,18.17410087585449,0.02547300048172474
15,58965.439421299845,R,18.23349952697754,0.02761499956250191
16,58966.39320599986,R,18.254199981689453,0.024745000526309013
17,58966.434224499855,g,18.34749984741211,0.024687999859452248
18,58967.38495370001,R,18.322999954223636,0.0300890002399683
19,58967.42406249978,g,18.385700225830078,0.030765999108552933
20,58968.39431709983,R,18.35849952697754,0.021887000650167462
21,58968.396701400176,R,18.378400802612305,0.026350999251008037
22,58968.45850689989,g,18.48819923400879,0.0256740003824234
24,58970.41099540005,R,18.51740074157715,0.02751999907195568
26,58971.398692099836,R,18.553869247436523,0.07401807606220245
27,58972.41947920014,R,18.634700775146484,0.047150000929832465
28,58972.450625000056,g,18.765899658203125,0.08894900232553482
29,58973.351134300225,R,18.677400588989254,0.06077500060200691
30,58973.44465279997,g,18.867599487304688,0.06174900010228158
31,58974.33989580022,R,18.707199096679688,0.07050000131130219
32,58974.46322919987,g,18.866199493408203,0.07906900346279144
33,58975.26810189989,g,18.908700942993164,0.17796200513839722
34,58975.39918980002,R,18.761499404907227,0.08564399927854538
36,58976.47679399978,g,19.3882999420166,0.20610399544239044
40,58978.3988194,g,19.225799560546875,0.1811710000038147
43,58980.30708329986,R,18.8125,0.05710700154304504
47,58983.36259259983,R,18.877899169921875,0.045101001858711236
49,58985.38188660005,R,18.953899383544922,0.03922000154852867
51,58986.29565969994,R,19.028099060058594,0.05264800041913986
52,58986.39864580008,g,19.957000732421875,0.08567199856042862
54,58991.28493059985,R,19.279699325561523,0.05738100036978721
71,59001.276979200076,R,19.832874298095703,0.11783602833747865
