,ant_mjd,ant_passband,ant_mag,ant_magerr
8,58954.427488400135,g,20.4468994140625,0.3091129958629608
9,58954.49085649987,R,20.59149932861328,0.2352550029754639
10,58955.45137730008,R,20.512399673461914,0.2840209901332855
11,58955.47034720006,g,20.28580093383789,0.2091819941997528
13,58956.49053240009,R,19.73660087585449,0.22231799364089969
14,58961.44899309985,R,19.33679962158203,0.15042400360107422
15,58962.47255790001,R,19.245800018310547,0.11119099706411363
16,58962.49336809991,g,19.18720054626465,0.10693100094795227
17,58963.41222220008,g,19.1072998046875,0.08987899869680405
18,58963.453530100174,g,19.045499801635746,0.0837400034070015
19,58964.39497689996,g,19.051000595092773,0.10605700314044952
20,58964.44386570017,R,19.103700637817386,0.0782800018787384
21,58965.42693290021,g,19.017200469970703,0.08544100075960159
22,58965.44774310011,R,19.02890014648437,0.08025699853897095
23,58966.462210599806,R,19.02580070495605,0.06754399836063385
24,58967.39064810006,R,19.04490089416504,0.08991000056266785
25,58967.44967589992,g,19.00659942626953,0.07804799824953079
26,58968.42376160016,R,18.97439956665039,0.07363499701023102
27,58968.46533560008,g,19.018699645996094,0.0804549977183342
29,58970.43207179987,R,19.037399291992188,0.0650390014052391
30,58970.45870369999,g,19.065900802612305,0.09031499922275543
31,58971.408784700085,R,18.98892593383789,0.09077471494674684
32,58971.45210650005,g,19.03946876525879,0.07925502210855484
33,58972.426203699775,R,19.04010009765625,0.1152469962835312
34,58972.47057869983,g,19.136699676513672,0.07288099825382233
35,58973.36363429995,R,19.058399200439453,0.13169600069522858
36,58973.49804400001,g,19.14859962463379,0.1322840005159378
37,58974.361319399904,R,19.09530067443848,0.12503699958324432
38,58974.49453700008,g,19.223899841308594,0.1300410032272339
40,58975.44601849979,R,19.17340087890625,0.13727599382400513
41,58976.351365699906,R,19.14259910583496,0.1691959947347641
43,58977.389270800166,g,19.308500289916992,0.1972240060567856
44,58977.46681710008,R,19.22610092163086,0.2467530071735382
47,58979.34168979991,R,19.27549934387207,0.12447799742221832
49,58980.42358799977,g,19.64080047607422,0.19292199611663816
50,58980.46740739979,R,19.30820083618164,0.13781599700450894
51,58981.30259260022,g,19.71649932861328,0.2220029979944229
52,58981.414919000126,R,19.37649917602539,0.1220960021018982
53,58983.38866900001,R,19.61160087585449,0.13145199418067932
54,58985.405960599885,R,19.644399642944336,0.0931520015001297
55,58985.43667820003,g,19.892200469970703,0.14140300452709198
56,58986.402557900175,g,20.105600357055664,0.1416029930114746
57,58986.47040509991,R,19.62030029296875,0.11892099678516388
58,58987.36479170014,R,19.72220039367676,0.12848299741744995
59,58987.43483800023,g,20.23550033569336,0.1406649947166443
60,58991.433807900175,g,20.438899993896484,0.19056299328804016
61,58991.459583300166,R,19.747900009155273,0.13807499408721924
62,58992.34643519996,g,20.636199951171875,0.2552039921283722
63,58992.426597199876,R,19.857500076293945,0.12749400734901428
64,58994.42351849983,g,20.616100311279297,0.2417919933795929
66,58995.440937499974,R,19.79850006103516,0.12053799629211424
67,58996.302280100055,R,19.942100524902344,0.16750699281692505
68,58996.42866900005,g,20.741899490356445,0.2530350089073181
69,58997.412534699775,g,21.06089973449707,0.2570439875125885
70,58997.45487269992,R,19.8533992767334,0.1486620008945465
71,58998.32466439996,R,19.92790031433105,0.17007000744342804
72,58998.43619209993,g,21.14940071105957,0.2968690097332001
74,58999.4071411998,g,20.841699600219727,0.3073939979076385
77,59001.439236099824,R,20.089967727661133,0.16757182776927948
