,ant_mjd,ant_passband,ant_mag,ant_magerr
18,58968.44064809987,g,20.4153995513916,0.2475550025701523
21,58970.39844910009,R,20.005599975585934,0.18087099492549896
22,58970.4478703998,g,19.8533992767334,0.1440729945898056
23,58971.41599539992,R,19.690561294555664,0.14997698366641998
24,58971.421585599885,g,19.57225227355957,0.13850581645965576
26,58972.448749999974,g,19.4950008392334,0.12037499994039536
27,58973.3520717998,R,19.460599899291992,0.16858500242233276
28,58974.27832179982,R,19.429399490356445,0.14959800243377686
29,58974.319838,R,19.40699958801269,0.16640600562095642
30,58974.461354199804,g,18.991600036621094,0.10790400207042694
31,58975.297361100085,g,19.15069961547852,0.1486310064792633
32,58975.31219909992,g,19.11930084228516,0.15685999393463135
33,58975.385532400105,R,19.257200241088867,0.16351500153541565
34,58976.30334489979,R,19.25079917907715,0.2437949925661087
35,58976.31859950023,R,19.0221004486084,0.18233099579811096
36,58976.47628469997,g,19.127399444580078,0.1929060071706772
38,58977.402418999925,R,18.64349937438965,0.1766040027141571
39,58978.28267360013,R,18.994600296020508,0.11598899960517885
40,58978.38344909996,g,18.77549934387207,0.12234599888324738
41,58979.26187499985,g,18.729000091552734,0.09998299926519394
42,58979.319629599806,R,18.97909927368164,0.11261100322008133
43,58980.27594910003,R,18.831899642944336,0.0855799987912178
44,58980.40476850001,g,18.7588005065918,0.09357299655675888
45,58981.28849539999,R,18.85759925842285,0.09633400291204453
46,58981.29778939997,g,18.77120018005371,0.0907370001077652
47,58985.28710650001,R,18.95050048828125,0.087909996509552
48,58985.30862270017,g,18.80599975585937,0.07533100247383118
49,58991.28774309997,R,19.07080078125,0.09454599767923356
50,58991.333518499974,g,19.146699905395508,0.07360299676656723
51,58994.26685190015,g,19.30069923400879,0.09148000180721284
52,58994.30962960003,R,19.299299240112305,0.10652700066566467
53,58997.27293979983,R,19.491199493408203,0.12346799671649933
54,58999.24412039992,g,19.738100051879886,0.201214998960495
56,59000.401180599816,g,19.714099884033203,0.20274099707603452
58,59012.25003470015,R,19.899057388305664,0.1262347549200058
59,59012.2568518999,R,19.90372085571289,0.15088430047035215
