,ant_mjd,ant_passband,ant_mag,ant_magerr
36,58970.35940970015,R,20.02869987487793,0.20634600520133967
37,58970.3603356001,R,19.750526428222656,0.1456066370010376
40,58973.251435200225,g,19.803300857543945,0.2223760038614273
41,58973.25190970022,g,19.676000595092773,0.22053200006484985
42,58973.29399310006,R,19.292200088500977,0.15932199358940125
43,58973.31526619988,R,19.454099655151367,0.22341400384902954
44,58976.20493059978,g,19.11989974975586,0.2718450129032135
50,58979.248726900194,g,19.078899383544922,0.108365997672081
52,58979.297557900194,R,19.05290031433105,0.10789799690246582
53,58979.2980324002,R,18.933900833129886,0.13298299908638
57,58985.272395799875,R,18.924999237060547,0.08596500009298325
58,58985.29137729992,R,18.989900588989254,0.09655199944972992
59,58985.29399310006,g,19.421300888061523,0.12487000226974487
61,58991.27100689989,R,19.221799850463867,0.11394000053405763
63,58991.295080999844,g,19.927400588989254,0.15457400679588318
64,58991.296018499874,g,20.01370048522949,0.17419099807739258
65,58994.25148149999,g,20.218900680541992,0.18677100539207456
66,58994.27371530003,R,19.40970039367676,0.11584000289440155
68,58995.25457180013,R,19.529699325561523,0.11909300088882445
71,58997.210451399915,g,20.605899810791016,0.25217100977897644
72,58998.26541669992,R,19.70829963684082,0.1689859926700592
73,58998.27009260002,R,19.684200286865234,0.15178999304771426
75,58998.274710599806,R,19.635400772094727,0.15898999571800232
77,58998.33778940002,g,20.603599548339844,0.262239009141922
95,59012.232708300005,R,20.24049949645996,0.19994600117206573
97,59015.21358799982,R,20.0226993560791,0.1838490068912506
99,59016.23749999981,R,20.144800186157227,0.3474099934101105
101,59019.213240699835,R,20.29874992370605,0.2156117558479309
