,ant_mjd,ant_passband,ant_mag,ant_magerr
6,58970.425300899886,R,20.118003845214844,0.1907147765159607
7,58970.47465279978,g,20.33867835998535,0.18904396891593933
10,58978.464594900135,R,19.013900756835934,0.11120899766683577
11,58981.45106479991,R,18.965700149536133,0.12675699591636658
12,58981.48825229983,g,19.341999053955078,0.14534099400043488
13,58985.47709489986,R,19.087200164794922,0.08991099894046782
14,58986.428414400194,g,19.493000030517575,0.1417739987373352
15,58986.479050899856,R,19.141000747680664,0.0831810012459755
16,58992.43517359997,R,19.50760078430176,0.10823900252580644
17,58993.48586810008,R,19.44809913635254,0.10494700074195862
18,58995.34775459999,g,20.461299896240234,0.3037090003490448
19,58995.44899309985,R,19.56220054626465,0.09455499798059464
20,58995.47784719988,R,19.60409927368164,0.10680700093507768
21,58998.45637729997,g,20.768999099731445,0.22129200398921967
22,58998.4693287001,R,19.668500900268555,0.1174900010228157
24,59001.44782410003,R,19.76289939880371,0.15617899596691132
28,59013.37060189992,R,20.77090072631836,0.27217599749565125
31,59016.46756940009,R,20.56684875488281,0.1939930468797684
