,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58978.19111109991,g,19.89459991455078,0.18303200602531436
8,58981.23353009997,R,19.344600677490234,0.1181190013885498
9,58986.19247689982,g,18.749500274658203,0.07152199745178223
10,58986.23130790005,R,18.911699295043945,0.1147949993610382
11,58992.193680599805,g,18.674400329589844,0.0775350034236908
12,58992.23474540003,R,18.75860023498535,0.06386099755764008
13,58995.169652800076,g,18.690200805664066,0.08254899829626082
14,58995.22895829986,R,18.731000900268555,0.09679999947547913
15,58998.19412040013,g,18.7908992767334,0.079196996986866
17,59005.23491899995,R,18.911399841308594,0.12951000034809113
18,59011.20446760021,g,19.698200225830078,0.2199009954929352
19,59011.23642359999,R,19.343799591064453,0.15714100003242493
20,59018.226365699906,R,19.390167236328125,0.10932070016860962
