,ant_mjd,ant_passband,ant_mag,ant_magerr
40,58981.304074100226,g,18.145000457763672,0.09050899744033812
41,58981.408368099954,R,17.927000045776367,0.08034799993038177
43,58985.403553199954,R,17.616100311279297,0.06696899980306625
44,58985.44937499985,g,17.568599700927734,0.06336499750614166
45,58986.40162040014,g,17.517000198364258,0.06291700154542923
47,58987.36527779978,R,17.41670036315918,0.07188999652862549
48,58987.433900500175,g,17.458499908447266,0.05482099950313568
49,58991.27682870022,R,17.23710060119629,0.0503540001809597
50,58991.414930600215,g,17.377099990844727,0.058929000049829476
51,58992.3020601999,R,17.222299575805664,0.044470999389886856
52,58992.34898150014,g,17.374000549316403,0.04721299931406975
53,58994.40121529997,g,17.360000610351562,0.053178999572992325
54,58995.26216439996,R,17.19420051574707,0.05469899997115135
55,58995.340625000186,g,17.383899688720707,0.06779699772596359
56,58996.30134260002,R,17.29330062866211,0.053059998899698264
57,58996.32710650005,g,17.46579933166504,0.07203199714422226
58,58997.391574100126,g,17.509700775146484,0.058171998709440224
59,58997.453935199876,R,17.341100692749027,0.04372899979352951
60,58998.30790509983,R,17.315799713134766,0.046532001346349716
61,58998.37408560003,g,17.535200119018555,0.048879001289606094
62,58999.260671299875,g,17.56559944152832,0.05555899813771248
63,58999.34356479999,R,17.361799240112305,0.05719799920916557
64,59000.37261570013,R,17.459299087524414,0.055748000741004944
66,59001.3818518999,g,17.746299743652344,0.06538199633359909
67,59002.410694399856,g,17.875499725341797,0.07725799828767776
68,59005.205648099996,g,17.978200912475586,0.0758420005440712
69,59005.305370400194,R,17.606000900268555,0.04961299896240234
70,59008.35296300008,R,17.958999633789062,0.07621999830007553
71,59009.2899536998,g,18.541799545288086,0.08306600153446198
72,59011.31050929987,g,18.627599716186523,0.09031499922275543
73,59011.349085600115,R,18.0049991607666,0.11472199857234955
74,59012.267002299894,R,17.941829681396484,0.07111649960279465
76,59013.24458329986,g,18.95067405700684,0.11870376020669934
