,ant_mjd,ant_passband,ant_mag,ant_magerr
17,58983.39258099999,R,19.695899963378906,0.11098100244998932
18,58986.40395830013,g,19.079700469970703,0.08765800297260284
19,58991.411018500105,g,18.70809936523437,0.06591799855232239
20,58991.44863429992,R,18.82859992980957,0.07150299847126007
21,58994.42151620006,g,18.63759994506836,0.07120300084352492
22,58997.41111110012,g,18.76689910888672,0.07168000191450119
23,58997.452928199906,R,18.81739997863769,0.07073000073432922
26,59004.47490740009,g,19.099000930786133,0.13731199502944946
27,59008.3411921002,R,19.30769920349121,0.12156099826097487
28,59009.28666670014,g,19.720199584960934,0.178507000207901
29,59009.371724499855,R,19.44029998779297,0.15602099895477295
30,59011.30810189992,g,19.693300247192386,0.13634300231933594
31,59011.33254629978,R,19.42690086364746,0.12358099967241287
32,59012.286284700036,R,19.613399505615234,0.11357700079679488
33,59012.320775500026,g,19.87350082397461,0.13227100670337674
34,59013.33886570018,R,19.502599716186523,0.11455599963665007
35,59014.35858799982,g,19.870500564575195,0.13801999390125275
36,59015.33797449991,R,19.6525993347168,0.09884800016880037
38,59016.35288190004,g,20.265300750732425,0.181534007191658
39,59017.324768499944,g,20.332300186157227,0.1832759976387024
40,59018.2711920999,R,19.579700469970703,0.11331500113010405
41,59018.365011599846,g,20.46999931335449,0.18354299664497373
42,59019.280520800035,g,20.333200454711914,0.2325890064239502
43,59019.36656250013,R,19.69774055480957,0.12080176919698715
44,59020.28989579994,R,19.84528160095215,0.15489201247692108
45,59020.3724421002,g,20.50629997253418,0.2354999929666519
46,59022.267407400075,R,19.75088882446289,0.12486011534929276
47,59022.34774310003,g,20.72410011291504,0.2384600043296814
48,59023.351296300076,g,20.88710021972656,0.24032199382781985
51,59024.3662963002,g,20.68790054321289,0.2549929916858673
52,59025.32878470003,g,21.092599868774414,0.2754299938678741
57,59027.38557869988,R,19.94662475585937,0.1654183864593506
61,59031.32728009997,g,20.54439926147461,0.288116991519928
62,59031.362939800136,R,20.22356986999512,0.20837491750717166
