,ant_mjd,ant_passband,ant_mag,ant_magerr
19,58991.22861109999,R,20.024999618530273,0.14230899512767792
20,58991.30209490005,g,20.03230094909668,0.34757500886917114
21,58994.23253470008,g,18.60070037841797,0.056237999349832535
22,58997.214224500116,g,18.2893009185791,0.057750001549720764
23,58997.24996529985,R,18.30220031738281,0.06893999874591827
24,59000.26091440023,g,18.420900344848636,0.09261099994182588
25,59004.19267359981,g,18.95050048828125,0.1199209988117218
26,59004.23445599992,R,18.309600830078125,0.07737699896097182
27,59009.172314799864,R,18.59339904785156,0.08428800106048584
28,59009.258669000126,g,19.649599075317386,0.17086699604988098
29,59012.199768499944,g,19.784500122070312,0.12036599963903427
30,59012.227627300184,R,18.803600311279297,0.06776899844408035
32,59018.207395799924,g,20.368986129760746,0.1800597459077835
35,59024.20487269992,g,20.784900665283203,0.3030349910259247
36,59024.216967599925,R,19.546348571777344,0.1822490990161896
37,59027.183842599865,R,19.616987228393555,0.18701574206352234
40,59031.21440970013,R,19.915000915527344,0.2771359980106354
42,59036.256458300166,R,19.630699157714844,0.2300360053777695
46,59045.20774309988,R,20.08824157714844,0.17905569076538086
