,ant_mjd,ant_passband,ant_mag,ant_magerr
44,58991.25510419997,R,20.158000946044922,0.18617400527000427
45,58994.263101900004,g,19.003000259399414,0.07097599655389786
46,58994.30599540007,R,19.197599411010746,0.09468600153923036
47,58997.224444400046,g,18.606800079345703,0.06865499913692474
48,58997.278217600186,R,18.841999053955078,0.06496900320053099
49,59000.248460600145,g,18.45050048828125,0.06129400059580802
50,59000.36447919997,R,18.83650016784668,0.1484609991312027
51,59000.402592599865,g,18.43720054626465,0.08864100277423859
53,59009.221238399856,R,18.580699920654297,0.0829169973731041
54,59012.2650462999,R,18.763399124145508,0.06550300121307373
55,59012.30472220015,g,18.770999908447266,0.06236400082707405
56,59016.20591440005,g,19.07200050354004,0.08110500127077103
58,59019.239062500186,R,19.15077209472656,0.08973442018032074
59,59019.270960600115,g,19.34919548034668,0.0918828696012497
60,59022.24353010021,R,19.282777786254886,0.08526956290006638
62,59025.24188659992,g,19.908781051635746,0.1031542792916298
63,59028.240057900075,R,19.292245864868164,0.0860893651843071
64,59028.34716439992,g,20.14207649230957,0.1843772530555725
69,59035.30747690005,R,19.926000595092773,0.25339099764823914
70,59036.20760420011,g,20.621999740600586,0.297432005405426
72,59037.202060199816,R,19.762800216674805,0.2263820022344589
74,59038.20878469991,R,20.013635635375977,0.16208113729953766
76,59039.204120399896,g,20.988100051879886,0.2919459939002991
77,59039.24116900005,R,19.94198989868164,0.17819976806640625
78,59040.240752299775,g,20.946800231933594,0.2448139935731888
80,59041.23925929982,R,20.130186080932614,0.1868935972452164
81,59042.23899309988,R,20.105499267578125,0.16269664466381073
83,59043.22325230017,g,21.19939994812012,0.2813740074634552
84,59043.256759299904,R,20.15351676940918,0.15827946364879608
85,59044.204120399896,g,21.215499877929688,0.2927510142326355
86,59045.21689809999,R,20.27116203308105,0.17439810931682587
88,59046.20464120014,R,20.35431289672852,0.1672239750623703
89,59046.21988430014,g,21.218599319458008,0.35503798723220825
90,59047.227546299815,R,20.384418487548828,0.1958141028881073
91,59047.26166669978,g,21.290700912475586,0.3335810005664825
94,59049.3504745001,R,20.2775993347168,0.2376469969749451
96,59050.267361099824,R,20.202600479125977,0.1835470050573349
97,59051.2004976999,R,20.424365997314453,0.19812728464603424
99,59052.26373839984,R,20.394489288330078,0.15829208493232727
102,59054.20336809987,R,20.351022720336914,0.19987428188323972
