,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58992.204687499914,g,20.84499931335449,0.3064430058002472
15,58992.26020829986,R,20.529499053955078,0.3221800029277801
16,58995.216215299915,R,19.27639961242676,0.11118000000715256
17,58998.203125,g,18.12179946899414,0.06476400047540665
18,58998.238530099865,R,18.278400421142575,0.06613700091838838
19,59001.18167820013,g,17.550399780273438,0.07720199972391129
20,59004.24624999985,R,17.47960090637207,0.058083999902009964
21,59009.183321800076,R,17.272300720214847,0.04969700053334236
22,59009.23850690015,g,17.126800537109375,0.0445530004799366
23,59013.22628469997,g,17.212099075317386,0.05269800126552582
24,59017.22255790001,g,17.401100158691403,0.04294700175523758
25,59017.243229200125,R,17.395299911499027,0.03961100056767464
26,59020.20576390019,g,17.59563636779785,0.04170149937272072
27,59020.24107640004,R,17.592683792114258,0.045043278485536575
28,59023.186886600226,R,17.786012649536133,0.05874466896057129
29,59023.22291669994,g,17.848430633544922,0.04820627346634865
30,59026.20054400014,R,17.908615112304688,0.05306517705321312
32,59029.22730319993,R,17.991191864013672,0.07820554822683334
33,59029.244386599865,g,18.410999298095703,0.1507990062236786
34,59032.20271989983,g,18.5574893951416,0.12563395500183105
35,59032.22050930001,R,18.00811004638672,0.05614729970693588
36,59037.21586810006,g,19.070600509643555,0.2202499955892563
37,59040.207511600114,R,18.20059585571289,0.06853348016738893
38,59040.21724539995,g,19.31728172302246,0.11203201115131378
