,ant_mjd,ant_passband,ant_mag,ant_magerr
38,58998.370300900184,g,21.143600463867188,0.2963730096817017
40,58999.344039400115,R,20.41659927368164,0.19813799858093264
41,59000.30523149995,g,20.48740005493164,0.3532899916172028
44,59001.28651619983,R,19.877099990844727,0.16066999733448029
45,59001.38278939994,g,20.07010078430176,0.2018589973449707
46,59002.40974539983,g,19.807300567626953,0.27573901414871216
52,59009.28901620022,g,19.30909919738769,0.13162200152873993
53,59009.36793980002,R,19.007200241088867,0.1005999967455864
54,59011.2834954001,g,19.290599822998047,0.1310030072927475
55,59011.326747700106,R,18.97769927978516,0.1088479980826378
56,59012.28300930001,R,18.920900344848636,0.06999299675226213
57,59012.314664400175,g,19.201900482177734,0.0831810012459755
58,59013.24930559984,g,19.306900024414066,0.10897699743509293
59,59013.32828699984,R,18.910499572753906,0.07906600087881087
60,59014.26534719997,R,18.86050033569336,0.0723079964518547
61,59014.34817129978,g,19.33889961242676,0.10819999873638153
62,59015.328541699804,R,18.876100540161133,0.0814720019698143
63,59016.26442130003,R,18.858299255371094,0.11118099838495256
65,59017.260856499895,R,18.87879943847656,0.07692000269889833
66,59017.3228703998,g,19.35449981689453,0.09248899668455124
67,59018.3480440001,g,19.31110000610352,0.08595199882984161
68,59019.24587959983,R,18.999757766723636,0.09307214617729187
69,59019.28777780012,g,19.453338623046875,0.0977904200553894
70,59020.26416670019,R,19.02721405029297,0.09171191602945328
71,59020.373379599776,g,19.537593841552734,0.1334109753370285
72,59022.246400500175,R,19.172252655029297,0.10715146362781523
73,59022.34868060006,g,19.7594051361084,0.12504054605960846
74,59023.30694440008,R,19.21646881103516,0.08740590512752533
75,59023.32891200018,g,19.749771118164066,0.11291192471981047
76,59024.23895830009,R,19.2889347076416,0.08684428036212921
77,59024.368171299815,g,19.887714385986328,0.1802136301994324
78,59025.24620370008,g,19.919286727905273,0.14708927273750305
79,59025.364155100186,R,19.3384952545166,0.09360751509666444
80,59026.368437500205,g,20.03227996826172,0.15057344734668732
81,59027.222719899844,g,20.11132049560547,0.19282685220241547
82,59027.28236109996,R,19.387590408325195,0.13338248431682587
83,59028.23621529992,R,19.507417678833008,0.10102424770593643
84,59028.3443287001,g,20.13805389404297,0.15891477465629578
85,59029.26361110015,g,20.16230010986328,0.25361400842666626
86,59030.364664400004,g,20.43400001525879,0.2238530069589615
88,59031.24414349999,R,19.41647148132324,0.11606666445732115
89,59032.32459490001,R,19.565961837768555,0.11064015328884123
90,59032.39122689982,g,20.52669906616211,0.2981899976730347
94,59034.353229199995,R,19.78592109680176,0.21229702234268188
96,59035.3469560002,R,19.5461483001709,0.16156640648841858
97,59038.222592600156,R,19.64250946044922,0.1399347186088562
99,59038.39490740001,R,19.57228660583496,0.17658179998397827
101,59041.274999999914,R,19.741682052612305,0.12909242510795593
103,59043.288622700136,R,19.803749084472656,0.13109014928340912
104,59044.241759300225,R,19.888301849365234,0.13910971581935885
107,59045.347731499925,R,19.92397689819336,0.14805343747138974
109,59046.40758100013,R,20.030250549316406,0.1610092967748642
111,59047.406122699846,R,20.02296257019043,0.21371233463287356
113,59048.3897338002,R,20.146947860717773,0.20016993582248688
115,59050.30197919997,R,20.195520401000977,0.20270192623138428
118,59051.343877300154,R,20.323469161987305,0.187745064496994
121,59053.32635420003,R,20.554000854492188,0.21835100650787356
124,59054.33987270017,R,20.355772018432614,0.17718100547790527
