,ant_mjd,ant_passband,ant_mag,ant_magerr
16,59009.22833329997,R,18.350400924682614,0.06919600069522858
17,59012.25003470015,R,17.970199584960938,0.07872000336647034
19,59012.29802080012,g,17.78849983215332,0.05259799957275391
20,59016.2040161998,g,17.619800567626953,0.04516800120472908
21,59019.25756940013,g,17.69960594177246,0.049963589757680886
22,59022.20458329981,g,17.866601943969727,0.048881690949201584
23,59022.234525499865,R,17.89592170715332,0.05308687314391136
24,59025.194849499974,R,18.156110763549805,0.08446317911148071
25,59025.233692099806,g,18.133663177490234,0.07604276388883591
26,59028.24351850013,R,18.379352569580078,0.07545609027147293
27,59028.24399309978,R,18.397357940673828,0.09279879182577133
28,59031.2332175998,R,18.44335174560547,0.09148567169904707
30,59034.197881899774,g,19.064733505249023,0.13162869215011594
31,59034.344143500086,R,18.539194107055664,0.11675184965133667
32,59035.22209489998,g,19.19878387451172,0.19447696208953855
33,59037.19365740009,R,18.62068748474121,0.10609765350818634
34,59037.227812500205,g,19.47640037536621,0.20225614309310916
35,59040.19993059988,R,18.734140396118164,0.10206305980682373
36,59040.233657400124,g,19.943164825439453,0.1816648244857788
39,59046.16666670004,R,19.37891387939453,0.14489169418811798
40,59046.19383100001,R,19.24444961547852,0.11434382200241087
41,59046.228344900075,g,20.380088806152344,0.2125403732061386
43,59049.17391199991,R,19.40418243408203,0.14564339816570282
45,59050.164930600215,R,19.440889358520508,0.19579382240772247
