,ant_mjd,ant_passband,ant_mag,ant_magerr
13,59010.4675925998,g,19.75320053100586,0.1996619999408722
14,59013.359629599836,R,19.32010078430176,0.12072400003671645
15,59014.395381900016,g,19.167299270629886,0.12310700118541718
16,59014.474085600115,R,19.14739990234375,0.09483499825000764
17,59016.39548610012,g,19.032100677490234,0.16086399555206302
18,59016.46706019994,R,19.002599716186523,0.08754699677228928
19,59018.39605320013,g,18.878000259399414,0.09067700058221816
20,59018.46841439977,R,18.84239959716797,0.07671300321817398
21,59019.34262729995,g,19.01743698120117,0.09214657545089723
22,59022.38731480017,g,19.126399993896484,0.08702458441257477
23,59022.389189799775,g,19.057058334350586,0.1122797280550003
24,59022.47562499996,R,18.75516128540039,0.059138793498277664
25,59022.476099499974,R,18.8322696685791,0.06894861906766891
26,59025.33836810011,g,19.36528205871582,0.10203514993190764
27,59025.34024310019,g,19.278690338134766,0.10755451768636703
28,59025.39467590022,R,18.90292358398437,0.06596693396568297
30,59028.45481480006,g,19.562164306640625,0.1305624097585678
31,59028.45862270008,g,19.4654541015625,0.1251859962940216
32,59028.47791669984,R,19.07676887512207,0.11001401394605637
33,59028.47885419987,R,19.122011184692386,0.08201928436756134
34,59031.34043980017,g,20.019399642944336,0.2676590085029602
36,59031.439606499865,R,19.352209091186523,0.09228089451789856
37,59031.44008099986,R,19.209924697875977,0.13339675962924954
39,59034.37872690009,R,19.353410720825195,0.14999490976333618
41,59034.461458299775,g,20.273500442504886,0.3466309905052185
42,59034.462858799845,g,20.253915786743164,0.20665305852890012
43,59037.45562499993,R,19.43160057067871,0.1875859946012497
44,59037.45702550002,R,19.27255249023437,0.20724056661129
45,59040.38166669988,R,19.597078323364254,0.1227552741765976
46,59040.382129599806,R,19.597652435302734,0.1414112001657486
48,59042.48236110015,R,19.734695434570312,0.14789454638957975
49,59042.48236110015,R,19.734699249267575,0.1478949934244156
53,59043.395069399856,R,19.73785972595215,0.11753229051828384
54,59044.4756018999,R,19.806617736816406,0.14136354625225067
55,59044.47795139997,R,19.658241271972656,0.109172485768795
56,59046.40126160019,R,19.83795547485352,0.10957252234220503
57,59046.42111109988,R,19.81839942932129,0.1058640033006668
58,59046.42157409992,R,19.939607620239254,0.11717627942562105
63,59049.404872700106,R,20.08760070800781,0.14024899899959564
64,59050.450902800076,R,20.60082054138184,0.1800362765789032
66,59051.39086809987,R,20.51232147216797,0.2079804092645645
67,59052.40498840017,R,20.39282989501953,0.14123964309692386
74,59053.44440970012,R,20.464000701904297,0.19298799335956573
76,59054.38768520019,R,20.501506805419922,0.1540498435497284
83,59055.455300900154,R,20.4996337890625,0.15081366896629333
84,59056.38245370006,R,20.714799880981445,0.16735999286174774
88,59056.49386569997,R,20.745800018310547,0.2732209861278534
89,59056.49432870001,R,20.45330047607422,0.3014799952507019
90,59057.37329859985,R,20.69379997253418,0.2284190058708191
93,59059.35231480002,R,20.771900177001953,0.23404699563980105
99,59059.45311339991,R,20.482221603393555,0.20576997101306915
