,ant_mjd,ant_passband,ant_mag,ant_magerr
34,59011.31239579991,g,19.639299392700195,0.15995700657367706
35,59011.34766199999,R,19.3887996673584,0.12278199940919875
36,59012.2881713002,R,19.297800064086914,0.10768499970436096
37,59012.310011600144,g,19.51449966430664,0.1253490000963211
38,59013.242673600085,g,19.5275993347168,0.14618800580501554
39,59013.33981479983,R,19.20840072631836,0.08848699927330017
40,59014.35954859993,g,19.24099922180176,0.09417299926280977
41,59014.46688660002,R,19.15250015258789,0.093858003616333
42,59015.34233799996,R,19.026899337768555,0.08797100186347961
43,59016.262511599816,R,19.076400756835934,0.15745599567890167
44,59016.36920139985,g,19.15690040588379,0.10806100070476532
45,59017.320983800106,g,19.215999603271484,0.09975399821996687
46,59018.36356480001,g,19.1742000579834,0.099031001329422
47,59018.47888890003,R,19.03580093383789,0.11328600347042085
48,59019.28446759983,g,19.13548851013184,0.10828535258769988
49,59019.3679860998,R,18.94239616394043,0.07585694640874863
50,59020.39060189994,g,19.192569732666016,0.10615652054548264
51,59020.46506940015,R,18.96043968200684,0.0957571491599083
52,59022.264004599776,R,18.98080062866211,0.07731447368860245
53,59022.36239580018,g,19.264644622802734,0.11639663577079773
54,59023.35034719994,g,19.23737907409668,0.10424870997667313
55,59023.39312499993,R,18.952226638793945,0.08199410140514374
56,59024.36395830009,g,19.369382858276367,0.1820848286151886
57,59024.46177079994,R,19.02903938293457,0.10077308863401413
58,59025.34831020003,g,19.35965919494629,0.17320355772972107
59,59025.36082179983,R,19.000232696533203,0.11757370084524155
60,59026.387777800206,g,19.48259925842285,0.18470899760723114
61,59026.46689809999,R,19.06028175354004,0.11465351283550262
62,59027.36392359994,g,19.47016143798828,0.2072559744119644
63,59027.388888900176,R,19.08111000061035,0.15964224934577942
64,59028.26833330003,R,19.237855911254886,0.14861761033535004
66,59030.36322919978,g,19.819299697875977,0.24529199302196505
67,59031.32965280023,g,19.902299880981445,0.2440080046653748
68,59031.360069400165,R,19.35653305053711,0.1557910293340683
69,59032.32847219986,R,19.314245223999023,0.12124136090278625
70,59032.47568289982,g,19.962900161743164,0.2991940081119537
71,59033.346493099816,R,19.35744285583496,0.21554143726825714
74,59034.392187499914,R,19.5433406829834,0.1602119207382202
75,59035.34929399983,R,19.52500343322754,0.16938306391239166
78,59036.363911999855,R,19.563663482666016,0.1740386039018631
80,59038.36736109993,R,19.614452362060547,0.18281890451908112
82,59039.24560189992,R,19.55197525024414,0.19638027250766754
85,59040.36377310008,R,19.551502227783203,0.12728358805179596
86,59041.307604200214,R,19.595436096191406,0.12564133107662198
89,59042.3839699002,R,19.870256423950195,0.15294982492923734
91,59043.2880671001,R,19.75844955444336,0.12319011986255644
93,59044.38729170011,R,19.741613388061523,0.14095485210418698
95,59045.349224499885,R,19.8289737701416,0.1093965396285057
97,59046.390497699846,R,19.935203552246094,0.17223288118839264
99,59047.43468749988,R,19.864166259765625,0.11445031315088272
101,59048.39071760001,R,20.062400817871094,0.13129399716854095
106,59051.382557900164,R,20.24415779113769,0.17487706243991852
108,59052.36447919997,R,20.324617385864254,0.15790894627571106
113,59055.34074069979,R,20.2534236907959,0.21230848133563995
117,59057.33841439989,R,20.354206085205078,0.1805054098367691
119,59059.36271989998,R,20.42304039001465,0.21423611044883728
139,59068.34137730022,R,20.47570037841797,0.26329299807548523
142,59069.2447453998,R,20.61270523071289,0.19947665929794312
