,ant_mjd,ant_passband,ant_mag,ant_magerr
13,59013.389386599876,g,20.29730033874512,0.2306089997291565
14,59016.362106500186,g,18.82159996032715,0.12425199896097185
15,59016.461909700185,R,18.848499298095703,0.06752599775791167
16,59019.38881940022,R,18.15260124206543,0.0617036446928978
17,59023.33932870022,g,17.574485778808597,0.03997640684247017
18,59026.3962963,g,17.456104278564453,0.046489190310239785
19,59026.46518519986,R,17.544063568115234,0.04245719313621521
20,59029.277268500075,g,17.461027145385742,0.05545153096318245
21,59032.33939810004,R,17.480037689208984,0.05901900306344032
22,59032.46413190012,g,17.45888328552246,0.056446678936481476
23,59035.444328700185,g,17.605966567993164,0.06202531978487968
24,59038.37434029997,R,17.781526565551758,0.05017351731657982
25,59041.295138900176,R,17.96092414855957,0.1188851073384285
26,59044.33871529997,g,18.254053115844727,0.06265700608491898
27,59044.37841439992,R,18.138553619384766,0.05423036590218544
28,59047.27832179982,g,18.534229278564453,0.05758503079414368
29,59048.3453241,R,18.26370048522949,0.06780070811510086
30,59050.29880789992,R,18.287578582763672,0.06104601919651032
31,59050.38054399983,g,18.778284072875977,0.05974984169006348
32,59051.36717589991,R,18.31747055053711,0.07006226480007173
33,59053.31716440013,R,18.260011672973636,0.058472469449043274
34,59053.358923600055,g,19.0645809173584,0.08754867315292357
35,59054.363402800176,R,18.260602951049805,0.061676491051912315
36,59055.353692099925,R,18.3078670501709,0.06428463757038116
37,59056.357453700155,R,18.2571964263916,0.061903532594442374
38,59056.41708330018,g,19.22965431213379,0.08944798260927199
39,59057.350752300124,R,18.313875198364254,0.05824018269777297
40,59059.323055599816,R,18.39192008972168,0.056392714381217963
41,59059.37351850001,R,18.32469749450684,0.06396102905273438
42,59060.29138890003,R,18.381385803222656,0.06158878281712533
43,59060.323009300046,g,19.5727596282959,0.1266118288040161
44,59061.285740700085,R,18.42547035217285,0.0661856085062027
45,59062.413090299815,g,19.89739990234375,0.2740670144557953
46,59063.32798610022,R,18.44596099853516,0.0925069972872734
48,59066.449293999925,R,18.762529373168945,0.13744132220745087
49,59069.241330999874,R,18.87754249572754,0.11818969249725343
50,59072.319872700136,R,19.105016708374023,0.10325434803962708
51,59072.340659699876,g,20.292600631713867,0.183558002114296
52,59075.295821799904,R,19.17548370361328,0.09813146293163301
53,59075.33600689982,g,20.27989959716797,0.21889300644397736
55,59078.289930600215,R,19.24040031433105,0.10352499783039093
56,59078.3171064998,R,19.283599853515625,0.09616400301456453
57,59078.37350689992,g,20.336700439453125,0.1849749982357025
58,59081.230798599776,g,20.27879905700684,0.21800899505615234
59,59081.35700230022,R,19.41031837463379,0.11580479890108107
61,59085.25562500022,g,20.442800521850586,0.2318170070648193
62,59087.263993099805,R,19.60312843322754,0.14732573926448822
