,ant_mjd,ant_passband,ant_mag,ant_magerr
8,59015.31568290014,R,20.02580070495605,0.22731000185012815
9,59018.33653939982,g,19.572486877441406,0.12946009635925293
10,59024.24479170004,R,18.99624252319336,0.13993769884109494
11,59024.29200229981,g,19.03208351135254,0.1334579885005951
12,59027.22571759997,g,18.898048400878906,0.12281682342290877
13,59027.2896412001,R,18.930328369140625,0.09730672091245653
14,59033.209560200106,g,18.857709884643555,0.1357392817735672
15,59036.21521990001,g,19.23050117492676,0.18922299146652224
16,59036.27482639997,R,19.096824645996094,0.1109221801161766
17,59039.19304399983,g,19.539390563964844,0.12386050075292587
18,59039.23277779994,R,19.111055374145508,0.14061710238456726
19,59042.299409700085,g,19.932249069213867,0.2099774181842804
20,59045.22789350013,R,19.437475204467773,0.1581171751022339
24,59051.24232639978,R,19.665367126464844,0.1777876615524292
