,ant_mjd,ant_passband,ant_mag,ant_magerr
0,59020.4691319,R,17.881202697753906,0.05646765604615212
1,59024.38245370006,g,19.517335891723636,0.19508804380893707
2,59024.475034699775,R,17.942638397216797,0.06468362361192702
3,59026.473888900124,R,17.891672134399414,0.0797143280506134
5,59033.3604629999,R,17.77863883972168,0.05784445628523826
6,59033.45965280012,g,19.29938507080078,0.10897240042686462
7,59034.38202549982,R,17.955432891845703,0.07023317366838455
8,59036.48251160002,g,19.363800048828125,0.18794700503349304
9,59038.37783560018,R,17.964393615722656,0.07471051067113876
10,59038.46037039999,g,19.240699768066406,0.13548800349235535
11,59038.48549770005,g,19.39982795715332,0.20287907123565674
12,59039.35896989983,g,19.058229446411133,0.20406225323677066
13,59039.45635419991,R,17.96660804748535,0.08980141580104828
14,59043.361296299845,g,19.642900466918945,0.21088899672031405
15,59043.46038189996,R,18.062091827392575,0.07539981603622438
16,59044.3582870001,g,19.444726943969727,0.16877788305282593
17,59044.460740699906,R,17.991348266601562,0.06707049906253815
18,59046.441446799785,R,18.09360885620117,0.06487059593200684
19,59046.46276619983,g,19.554054260253906,0.13741245865821838
20,59047.419953700155,R,18.055879592895508,0.07057882845401764
21,59047.45376159996,g,19.645353317260746,0.15480372309684753
22,59048.48569440004,g,19.762575149536133,0.18255823850631714
23,59049.38818289992,R,17.9666805267334,0.07904516160488129
24,59049.39342590003,R,17.99283790588379,0.05964425206184387
25,59049.42004630017,R,18.018468856811523,0.06269939243793488
26,59049.45953699992,g,19.755840301513672,0.17517541348934176
27,59050.437650499865,g,19.789031982421875,0.14882966876029968
28,59050.476967600174,R,18.018726348876953,0.057465400546789176
29,59050.47840279992,R,18.096296310424805,0.06141778826713563
30,59052.41928240005,R,18.122194290161133,0.06859660893678665
31,59052.46175929997,g,19.798158645629886,0.14553114771842954
32,59052.48674769978,g,19.78219985961914,0.16573700308799744
33,59053.45990739996,R,18.065763473510746,0.07277604192495346
34,59054.497233800124,g,19.591100692749023,0.22091899812221527
35,59055.42028940003,g,19.47135734558105,0.11184287071228027
36,59055.44100689981,R,18.183961868286133,0.07262945920228958
37,59056.44011570001,g,19.647600173950195,0.1699250042438507
38,59056.461886600126,R,18.144607543945312,0.07518713176250458
39,59057.45864580013,R,18.14427375793457,0.07122141867876053
40,59059.41814809991,g,19.718168258666992,0.13022305071353912
41,59059.459328699864,R,18.099145889282227,0.05684345960617065
42,59060.43153940002,R,18.164203643798828,0.05919428914785385
43,59060.43914349983,R,18.082355499267575,0.07206261903047563
44,59060.46071759983,g,19.729372024536133,0.16435544192790985
45,59061.351875000175,R,18.125991821289066,0.06923049688339232
46,59061.37270830013,R,18.175661087036133,0.06727899610996246
47,59062.46038189996,R,18.02522087097168,0.062389172613620765
48,59063.369641200174,R,18.051746368408203,0.05959277227520943
49,59063.4166898001,R,18.249019622802734,0.08215177059173584
51,59063.45953699992,g,19.3526668548584,0.15189377963542938
52,59064.37329859985,R,17.94478416442871,0.08639352768659593
53,59064.39427080005,R,18.03314781188965,0.0875304564833641
54,59065.408425900154,R,18.03657531738281,0.07450997084379196
55,59065.43233799982,R,18.153703689575195,0.10557081550359726
57,59066.39876159978,g,19.517900466918945,0.23821300268173215
58,59066.43943289992,R,17.929508209228516,0.11161068081855774
59,59066.43989579986,R,18.15496635437012,0.08255045861005783
60,59071.4770717998,g,19.710338592529297,0.16670222580432892
61,59071.47847220022,g,19.693449020385746,0.18880456686019895
62,59072.37582179997,g,19.800905227661133,0.21052655577659607
63,59072.45681709983,g,19.968599319458008,0.1980330049991608
64,59072.47807870014,R,18.108531951904297,0.08964864909648895
65,59072.49076389987,R,18.11446952819824,0.06289118528366089
68,59073.41005790001,g,19.610258102416992,0.1263691782951355
69,59073.483368100126,R,18.154705047607425,0.07302993535995482
71,59075.37590279988,g,19.649559020996094,0.14427539706230166
73,59075.40657409978,g,19.834514617919922,0.17082171142101288
74,59075.460879600134,R,18.00487518310547,0.06757374852895738
75,59076.40956019983,R,18.24985694885254,0.09845273941755296
77,59076.44119209983,g,19.998199462890625,0.2611590027809143
79,59077.4104514001,g,19.56987953186035,0.14815931022167206
80,59077.46907409978,R,18.003297805786133,0.05865490809082985
81,59078.406678199775,g,19.741500854492188,0.1581909954547882
82,59078.40854169987,g,19.71548080444336,0.1597176343202591
83,59078.40854169987,g,19.715499877929688,0.15971800684928894
84,59078.41820599978,g,18.36072540283203,0.20480042695999146
85,59078.41820599978,g,18.360700607299805,0.20479999482631686
87,59079.40163190012,R,18.12645530700684,0.05342533811926842
