,ant_mjd,ant_passband,ant_mag,ant_magerr
19,59022.474155100055,R,20.837499618530273,0.2338780015707016
20,59025.35160879978,g,19.769420623779297,0.16285185515880585
21,59025.394201400224,R,19.937299728393555,0.27034300565719604
22,59028.38670139993,g,19.03736686706543,0.08762332797050476
23,59028.458159700036,g,19.046777725219727,0.09806612133979796
24,59028.47604170023,R,19.193626403808594,0.10149683803319932
26,59031.349398099825,g,18.594234466552734,0.08372902870178223
27,59031.44105320005,R,18.9005069732666,0.08483905345201492
28,59031.44151620008,R,18.85539054870605,0.09363201260566713
30,59034.37966440013,R,18.581445693969727,0.10564880073070526
31,59034.46383100003,g,18.351869583129886,0.055779606103897095
32,59035.486169000156,g,18.47336769104004,0.10050738602876663
33,59037.35417820001,g,18.38247299194336,0.1044234037399292
35,59037.45465280023,R,18.520641326904297,0.10172434151172638
36,59040.38400459987,R,18.50312805175781,0.07729201018810272
37,59040.463101900175,g,18.43071937561035,0.07117912918329239
38,59043.36969910003,g,18.55183982849121,0.0684942901134491
39,59043.383680600215,R,18.595916748046875,0.06497090309858322
40,59044.47981479997,R,18.626708984375,0.06949744373559953
42,59046.37318289978,g,18.873233795166016,0.07794139534235
43,59049.406770799775,R,18.936059951782227,0.06918473541736603
44,59049.44535879978,g,19.07118225097656,0.09589068591594696
45,59051.388958300005,R,19.0320987701416,0.0916660502552986
46,59051.38942130003,R,19.058931350708008,0.10421427339315414
47,59052.375104200095,R,19.040218353271484,0.08933047950267793
48,59052.383680600215,R,19.0938663482666,0.09062732756137848
49,59052.40688659996,R,19.043136596679688,0.07507344335317613
50,59052.44262730004,g,19.26116180419922,0.10585559159517287
51,59052.49283559992,g,19.236400604248047,0.12582600116729736
52,59053.38149309997,g,19.4064998626709,0.09282796084880827
53,59053.38246530014,g,19.29044532775879,0.09787584841251372
54,59054.331909699824,R,19.20436286926269,0.11364732682704926
55,59054.37417820003,R,19.149179458618164,0.09035862237215042
56,59054.49253469986,g,19.260499954223636,0.1254359930753708
58,59055.36753469986,R,19.165203094482425,0.09976712614297867
59,59055.402407399844,g,19.48577880859375,0.11728756874799727
60,59055.402881899856,g,19.566932678222656,0.11929551512002945
61,59055.456724499825,R,19.248077392578125,0.1120658814907074
62,59056.49339119997,R,19.18092155456543,0.08919823914766313
63,59057.374733800076,R,19.217208862304688,0.11343706399202348
64,59059.35277780006,R,19.276277542114254,0.08781848102807999
65,59059.35325230006,R,19.301103591918945,0.1093977317214012
66,59059.437083300196,g,19.921995162963867,0.15422368049621582
67,59059.45031249988,R,19.275409698486328,0.10306943953037262
69,59060.34863429982,g,19.906648635864254,0.1868518739938736
70,59060.353900500115,g,19.78531646728516,0.16445524990558624
71,59061.30594909983,R,19.237117767333984,0.10277172178030014
72,59061.30641200022,R,19.36280059814453,0.12519800662994385
73,59062.434479199816,g,20.061899185180664,0.2413839995861053
74,59062.46937499987,R,19.300451278686523,0.10522592812776567
75,59063.30561339995,R,19.173891067504886,0.1504949927330017
76,59063.330428199835,R,19.443302154541016,0.12258829176425935
78,59064.34652779997,R,19.286800384521484,0.21014200150966644
81,59065.39185190015,R,19.479700088500977,0.3105620145797729
82,59065.39458330022,R,19.288028717041016,0.21069855988025665
83,59065.42886570003,R,19.392900466918945,0.22326600551605225
84,59065.429837999865,R,19.315961837768555,0.20753146708011627
85,59066.36513890001,g,20.35409927368164,0.3672870099544525
88,59068.35902780014,R,19.38047409057617,0.15121182799339294
89,59068.382638900075,R,19.551021575927734,0.135831817984581
90,59068.400509300176,R,19.581499099731445,0.15268400311470032
94,59069.437696800094,R,19.63539123535156,0.16919729113578796
95,59069.44586810004,R,19.677059173583984,0.1532973051071167
96,59070.338981499895,g,20.83989906311035,0.3429200053215027
98,59070.33944439981,g,20.56170082092285,0.2629109919071197
100,59071.340115699924,R,19.52510070800781,0.1271969974040985
101,59071.34059030004,R,19.639881134033203,0.12971538305282593
102,59071.360613400124,R,19.63039970397949,0.13362400233745575
103,59071.36108799977,R,19.832277297973636,0.15645180642604828
104,59071.40150459996,g,20.91659927368164,0.4115569889545441
105,59071.401979200076,g,20.66510009765625,0.2966639995574951
106,59071.43170139985,g,20.58880043029785,0.2935450077056885
107,59071.43216439989,g,20.71929931640625,0.33856600522994995
110,59073.360243100215,g,20.789899826049805,0.26750698685646057
114,59075.39126159996,g,20.950000762939453,0.273701012134552
116,59076.34174769978,R,19.902353286743164,0.1682368963956833
122,59078.30428239983,R,19.938730239868164,0.1641635298728943
123,59078.30475689982,R,20.109500885009766,0.16839599609375
127,59079.36561340001,R,20.121585845947266,0.18897533416748047
129,59080.31947920006,R,20.15510368347168,0.2030169665813446
130,59080.31995370006,R,20.010454177856445,0.17393319308757782
131,59080.334375000086,R,20.081369400024414,0.17793868482112885
132,59080.379178199924,g,20.78510093688965,0.30783799290657043
135,59080.4026389001,g,21.172800064086914,0.4544689953327179
136,59081.30269679987,g,20.893999099731445,0.30732399225234985
138,59081.394189800136,R,20.20606231689453,0.2071131318807602
139,59081.394652800176,R,20.154300689697266,0.21951399743556976
142,59084.303414400194,R,20.2504997253418,0.21749000251293185
145,59085.349664399866,g,21.00359916687012,0.3010259866714477
147,59086.34839119995,R,20.435546875,0.17383985221385956
148,59087.284814800136,R,20.303199768066406,0.22514399886131287
150,59087.36851850013,R,20.08595848083496,0.17915566265583038
158,59090.452442099806,R,20.49046516418457,0.20408502221107486
