,ant_mjd,ant_passband,ant_mag,ant_magerr
15,59052.291794000186,g,20.775400161743164,0.2200579941272736
16,59057.17528939992,R,19.44051170349121,0.1002221256494522
17,59057.246574100114,g,19.377182006835934,0.09838376939296722
19,59062.22688659978,R,18.77913856506348,0.07148073613643646
20,59063.18128470006,R,18.757312774658203,0.0690227672457695
23,59065.184409699876,R,18.683612823486328,0.06190023198723792
25,59066.18461810006,g,18.53046417236328,0.06055620685219765
26,59066.22645829991,R,18.592750549316406,0.0558440126478672
27,59069.18265049997,g,18.60469627380371,0.03822087496519089
30,59093.20726849978,R,19.533357620239254,0.20044490694999692
32,59095.14302079986,R,19.610912322998047,0.197083592414856
