,ant_mjd,ant_passband,ant_mag,ant_magerr
59,59062.48935189982,R,20.07897186279297,0.14632855355739596
60,59063.351990699775,R,19.851213455200195,0.17947906255722046
61,59063.38774310006,R,19.86389923095703,0.22109399735927585
62,59063.47565970012,g,20.12299919128418,0.23554100096225736
63,59064.34373839991,R,19.54454803466797,0.1652604043483734
64,59064.426909700036,R,19.434202194213867,0.1366746872663498
66,59065.36624999996,R,19.287742614746094,0.16325253248214722
67,59065.44068290014,R,19.372272491455078,0.20064485073089602
68,59065.477627300184,g,19.712400436401367,0.2430370002985001
69,59066.36942130001,g,19.585866928100586,0.19679275155067444
70,59066.40560190008,g,19.50577163696289,0.1942928582429886
71,59066.458657400224,R,19.009435653686523,0.0842992290854454
72,59066.49331020005,R,19.13313865661621,0.11074258387088776
73,59067.40493059997,g,19.351587295532227,0.1695975661277771
74,59067.41210650001,g,19.32340812683105,0.1386745274066925
75,59067.42733799992,R,18.965059280395508,0.08445557951927185
76,59068.37422449981,R,18.729570388793945,0.07408876717090608
77,59068.49975690013,g,19.07958984375,0.11056071519851683
78,59069.43203700008,R,18.660938262939453,0.06850828230381012
79,59071.44243060006,g,18.846437454223636,0.10833504050970078
80,59072.38224539999,g,18.7679443359375,0.07727670669555664
81,59072.49543979997,R,18.39680290222168,0.06353382766246796
82,59073.328935199876,g,18.79570960998535,0.07214450091123581
83,59073.38576389988,g,18.82406044006348,0.06736503541469574
84,59073.449178200215,R,18.409175872802734,0.05011289566755295
87,59075.325347200036,R,18.39422416687012,0.053329188376665115
88,59075.36600690009,g,18.74420166015625,0.07913990318775177
89,59075.373101899866,g,18.73822021484375,0.057594884186983115
90,59076.36283560004,R,18.36322784423828,0.05010872334241867
91,59076.39098379994,R,18.38353538513184,0.0664103627204895
92,59076.45415510005,g,18.716815948486328,0.0933719351887703
93,59076.499826400075,g,18.7474308013916,0.07362962514162064
94,59077.38863429987,g,18.756723403930664,0.05853692814707756
95,59077.400358799845,g,18.73158836364746,0.06255843490362167
96,59077.44923610008,R,18.34923553466797,0.060055583715438836
97,59077.47472220008,R,18.348241806030273,0.05026250332593918
98,59078.350833300035,R,18.343122482299805,0.05009940266609192
100,59078.39914349979,g,18.771255493164066,0.07996290177106857
101,59078.39914349979,g,18.771299362182614,0.07996299862861632
102,59079.339768500075,g,18.829315185546875,0.07613513618707657
103,59079.38574070018,R,18.39097595214844,0.059565551578998566
104,59079.434421299964,R,18.37761878967285,0.06100296601653099
105,59080.344016199924,R,18.4423770904541,0.0661197304725647
106,59080.36260419991,R,18.448287963867188,0.057334978133440025
107,59080.407881900195,g,18.88887023925781,0.07592487335205078
108,59080.41868059988,g,18.881181716918945,0.08388087153434752
109,59081.388518500135,R,18.46904182434082,0.055908463895320885
110,59081.429236100055,R,18.48402976989746,0.0552663691341877
111,59081.46908560023,g,18.86347198486328,0.07027792930603027
113,59082.428159699775,g,18.986053466796875,0.08428642898797989
114,59082.47369210003,R,18.549774169921875,0.07738162577152252
115,59084.35218749987,g,19.13321876525879,0.10726743936538696
116,59084.39773150021,g,19.012489318847656,0.08417899906635284
117,59084.490659699775,R,18.69466209411621,0.05010155215859413
118,59085.32777780014,R,18.6846923828125,0.07971356809139253
119,59085.362951400224,g,19.1693115234375,0.08157635480165483
120,59085.38335649995,g,19.15781593322754,0.08890178799629211
121,59086.34170140001,R,18.77106285095215,0.056872572749853134
122,59086.37797449995,R,18.79964256286621,0.06698357313871384
123,59086.47247690009,g,19.303476333618164,0.0882655680179596
124,59087.34234949992,g,19.37729263305664,0.09686536341905594
125,59087.36175929987,R,18.868579864501953,0.07531173527240753
126,59087.43425930013,R,18.856050491333008,0.0825548768043518
127,59088.33070599986,g,19.390043258666992,0.12520863115787506
128,59088.37846060004,R,18.936908721923828,0.08248477429151535
129,59088.38412040007,R,18.902795791625977,0.0718134194612503
130,59088.47898150002,g,19.440614700317386,0.1363345831632614
131,59089.30821759999,g,19.528844833374023,0.17266473174095154
132,59089.38218750013,g,19.543909072875977,0.10339317470788956
133,59089.422847200185,R,19.00945472717285,0.09413578361272812
134,59089.4526505,R,18.93560028076172,0.0732513815164566
135,59090.32311340003,g,19.594186782836914,0.15794220566749573
136,59090.40625,g,19.708972930908203,0.1256890743970871
137,59090.44585649995,R,19.02821159362793,0.06326449662446976
138,59090.495763900224,R,18.97097587585449,0.08682992309331894
139,59091.283356499865,g,19.68649673461914,0.1689639836549759
141,59093.364421300124,R,19.3668212890625,0.1273619830608368
142,59093.42355319997,g,19.92329978942871,0.2378319948911667
143,59094.34093749988,R,19.07875061035156,0.1362907886505127
144,59094.355138900224,R,19.08944129943848,0.18839696049690247
148,59095.39543979988,R,19.239362716674805,0.13149066269397736
149,59095.446006900165,R,19.185100555419922,0.15798500180244446
150,59096.305208299775,R,19.082094192504886,0.11644566059112547
152,59097.2984491,R,19.074499130249023,0.11889900267124175
155,59098.34305559984,R,19.269399642944336,0.11138900369405746
156,59104.40565969981,R,19.43165397644043,0.17072923481464386
158,59106.361863399856,R,19.48919486999512,0.14795026183128354
162,59109.385347200085,R,19.750099182128906,0.2054789960384369
167,59112.372870400075,R,19.77869987487793,0.14655500650405884
168,59112.38231479983,R,19.981300354003906,0.16525399684906006
169,59113.28437499981,R,19.93587875366211,0.1501617580652237
172,59114.40935190023,R,19.960351943969727,0.18643683195114136
175,59115.31217590022,R,19.935327529907227,0.12225909531116486
178,59116.344213000026,R,19.99263572692871,0.17308636009693146
180,59117.367314800154,R,20.21983528137207,0.17908264696598053
182,59118.33998840022,R,20.07465934753418,0.15658017992973328
199,59131.238819399856,R,20.462846755981445,0.1879563629627228
205,59138.310381900046,R,20.554506301879886,0.19360865652561188
