,ant_mjd,ant_passband,ant_mag,ant_magerr
23,59077.216053199954,g,19.500778198242188,0.13438913226127625
25,59081.196585599806,R,18.330860137939453,0.07819186896085739
26,59081.213101900175,g,18.293031692504886,0.06721717864274979
27,59085.190590300124,R,17.84451675415039,0.052798397839069366
28,59085.26964120008,g,17.705835342407227,0.046488258987665176
29,59087.143622700125,R,17.76457977294922,0.07242889702320099
30,59088.17322919984,R,17.68592643737793,0.05680131167173385
31,59088.25314809987,g,17.60175895690918,0.08461777865886687
32,59090.187326400075,R,17.647663116455078,0.04893141239881516
33,59094.279699100174,R,17.814556121826172,0.06787415593862534
34,59096.15810190002,g,17.977474212646484,0.060295931994915015
35,59096.280011599876,R,17.98124885559082,0.060283537954092026
36,59098.17554400022,R,18.151100158691406,0.07474199682474136
37,59098.21717590001,g,18.182600021362305,0.06801100075244904
38,59099.15824070013,g,18.243000030517575,0.06678900122642517
39,59099.19606480002,R,18.22760009765625,0.055392999202013016
40,59106.17277779988,g,19.00750160217285,0.1299099326133728
41,59106.19363430003,R,18.38473129272461,0.09790319204330444
42,59107.139386599876,R,18.450557708740234,0.08830347657203674
43,59107.156666699804,g,19.27345085144043,0.1655232161283493
44,59108.27849540021,g,19.381799697875977,0.1750819981098175
45,59109.15093749993,R,18.53172492980957,0.07483050227165222
46,59109.19326390001,g,19.45319366455078,0.1379328817129135
47,59110.14467590022,R,18.49856948852539,0.05864658206701279
48,59110.16082180013,g,19.60926818847656,0.13327072560787198
49,59111.13949069986,g,19.70680046081543,0.16141900420188904
50,59111.22230320005,R,18.609115600585934,0.07130707055330276
51,59112.142905099776,g,19.827816009521484,0.18012432754039764
52,59112.1802662001,R,18.688499450683594,0.07742200046777725
53,59113.13229170023,R,18.76101303100586,0.08304811269044876
54,59113.185949100174,g,19.81698226928711,0.1726192682981491
55,59114.177743100096,R,18.88966941833496,0.08425117284059525
56,59114.21699069999,g,20.017019271850586,0.19761094450950625
57,59115.159166700214,R,18.895343780517575,0.08227667957544328
58,59115.19498840022,g,20.0052433013916,0.19284580647945404
59,59116.200011599816,R,19.035499572753906,0.1126975566148758
61,59117.11627310003,R,19.13470458984375,0.09960804134607316
63,59118.196932900224,g,20.42140007019043,0.2905920147895813
64,59118.22013889997,R,19.145641326904297,0.1304512470960617
65,59119.155011599876,R,19.30035400390625,0.11377715319395065
66,59119.20498839999,g,20.05909919738769,0.30962300300598145
67,59120.19988430013,R,19.255611419677734,0.17111603915691376
68,59120.21966439997,g,20.04450035095215,0.4007880091667175
70,59123.26149309985,R,19.40439987182617,0.23605300486087802
71,59125.1203240999,R,19.73979949951172,0.2261209934949875
75,59129.11968749993,R,19.63661003112793,0.14220988750457764
77,59131.17856479995,g,20.47559928894043,0.232016995549202
78,59135.135729200214,R,19.879358291625977,0.16067390143871307
80,59137.11644680007,R,19.996623992919922,0.15255598723888394
81,59137.15756940004,g,20.702199935913086,0.2658019959926605
82,59139.134629600216,R,20.025999069213867,0.185030996799469
83,59139.17818289995,g,20.7150993347168,0.2938250005245209
84,59141.11746530003,R,20.07796287536621,0.2099573314189911
