,ant_mjd,ant_passband,ant_mag,ant_magerr
41,59077.30130789987,R,20.26006317138672,0.16637207567691806
42,59077.37496529985,g,20.30998992919922,0.1465250849723816
43,59077.41753470013,g,20.36677360534668,0.1320057064294815
44,59078.30521989986,R,19.88280487060547,0.11494746804237364
46,59079.33246529987,g,19.844728469848636,0.08675780892372131
47,59079.372268499814,R,19.69264793395996,0.09806476533412932
48,59080.326053199824,R,19.470123291015625,0.08157290518283844
49,59080.37083330005,R,19.50709342956543,0.1091010719537735
50,59080.42111109988,g,19.626220703125,0.0959678515791893
51,59080.42792819999,g,19.623750686645508,0.0936364158987999
52,59081.306967599776,g,19.448719024658203,0.06719285249710083
53,59081.37348379986,R,19.190715789794922,0.060063455253839486
55,59084.30667820013,R,18.718990325927734,0.05119122192263603
56,59084.39893520017,g,18.97745513916016,0.046776182949543
57,59085.372083299786,g,18.802852630615234,0.042630814015865326
58,59086.33601849992,R,18.471586227416992,0.03287437558174133
59,59087.28435190023,R,18.410287857055664,0.0527142770588398
60,59087.33765049977,g,18.723424911499023,0.03843386471271515
61,59087.37133099978,R,18.38755226135254,0.03954536095261574
62,59088.32693290013,g,18.7248592376709,0.08312173187732698
63,59088.43554400001,R,18.384614944458008,0.062045458704233176
64,59089.28723380017,g,18.780675888061523,0.10504409670829773
65,59090.285578699775,g,18.79214096069336,0.09017129987478256
66,59090.40121529997,g,18.81327247619629,0.06452365219593048
67,59090.456666700076,R,18.301910400390625,0.05808549001812935
68,59091.30576389981,g,18.86387062072754,0.1204034686088562
69,59092.30399309984,g,18.974449157714844,0.11509811878204344
70,59093.352627300184,R,18.37423515319824,0.08301999419927597
71,59093.402812500026,g,19.086938858032227,0.17569366097450256
72,59094.40810190002,R,18.446680068969727,0.1134238988161087
73,59096.36543980008,R,18.57188415527344,0.07254169881343843
74,59098.33031249978,R,18.68869972229004,0.1057099997997284
75,59098.35767359985,R,18.63170051574707,0.07733199745416641
76,59099.32667820017,R,18.724000930786133,0.08879899978637695
77,59104.4352545999,R,19.042869567871094,0.16455817222595215
80,59106.36728010001,R,19.2063045501709,0.13237470388412476
82,59109.241145799875,R,19.49417495727539,0.12306321412324905
86,59112.3041087999,g,21.10849952697754,0.2893590033054352
87,59112.34260419988,R,19.657711029052734,0.11292926967144012
88,59113.277303200215,R,19.830198287963867,0.10679533332586287
89,59114.317453700125,g,21.11280059814453,0.2719460129737854
91,59115.32407409978,R,19.97005844116211,0.1076773852109909
94,59116.31785879983,R,19.961212158203125,0.1347198635339737
95,59116.36737270001,R,20.02726554870605,0.12913732230663302
97,59118.24599540001,R,20.14139747619629,0.19782865047454834
