,ant_mjd,ant_passband,ant_mag,ant_magerr
7,59079.48075230001,g,19.02506828308105,0.12074621021747588
8,59080.504409700174,R,18.930328369140625,0.087281733751297
9,59082.44614579994,g,19.088781356811523,0.1417195200920105
10,59084.413194399785,g,19.13894844055176,0.10466930270195007
11,59085.446932900224,g,19.217588424682614,0.11439992487430573
12,59085.4834838002,R,18.92532539367676,0.07239662855863571
13,59087.4909374998,g,19.540996551513672,0.14410994946956635
14,59088.490451400176,g,19.425376892089844,0.12858572602272034
15,59088.503831000075,g,19.4019832611084,0.1050628274679184
16,59090.50494210003,R,19.311399459838867,0.1227629780769348
17,59091.410486099776,g,19.587305068969727,0.17377497255802155
18,59091.48850690015,R,19.35404396057129,0.09273172914981842
19,59092.41006939997,g,19.982500076293945,0.283814013004303
20,59093.47474539978,g,19.942869186401367,0.2141619771718979
21,59093.48839120008,R,19.37580108642578,0.12096431851387025
22,59094.39005789999,R,19.478628158569336,0.18424202501773834
23,59095.426643500105,R,19.50567054748535,0.1566048562526703
32,59108.47534719994,R,20.098955154418945,0.1985512524843216
34,59110.485625000205,R,20.46529960632324,0.2938539981842041
37,59112.40843749978,R,20.353200912475586,0.2242809981107712
40,59113.42474539997,R,20.29466819763184,0.155525341629982
41,59114.416979200214,R,20.38815116882324,0.18598656356334686
