,ant_mjd,ant_passband,ant_mag,ant_magerr
5,59095.45839119983,R,19.91399955749512,0.26949599385261536
6,59096.39211810008,R,19.81999969482422,0.2479169964790344
7,59099.41312499996,g,18.751399993896484,0.15094700455665588
9,59104.507395800196,g,18.29265785217285,0.1941707581281662
10,59106.39071760001,R,18.29299736022949,0.0820712149143219
11,59106.411782400224,g,18.3173885345459,0.1041986420750618
12,59107.38151620002,g,18.262714385986328,0.1267654150724411
13,59107.433252300136,R,18.23692512512207,0.08029341697692871
14,59108.365011599846,g,18.237348556518555,0.12891504168510434
15,59108.46707180003,R,18.251956939697266,0.06776665896177292
16,59109.344444400165,g,18.1919002532959,0.1577959954738617
17,59109.43162039992,R,18.23270034790039,0.0603259988129139
18,59110.4988425998,R,18.2272891998291,0.05184943601489067
19,59110.510902800124,g,18.28356170654297,0.07279546558856964
20,59111.35987270017,g,18.3080997467041,0.07371614873409271
21,59111.43143519992,R,18.19032287597656,0.07186339050531387
22,59112.495300900184,R,18.23819923400879,0.05840399861335754
23,59112.507685199846,g,18.351999282836914,0.07347100228071213
24,59113.4056712999,g,18.43135643005371,0.10614384710788727
25,59113.43349540001,R,18.260272979736328,0.056210484355688095
26,59114.34743059985,g,18.419620513916016,0.07616473734378815
27,59114.4932754999,R,18.33036994934082,0.0508437417447567
28,59115.40652780003,R,18.350465774536133,0.059864088892936713
29,59116.426955999814,R,18.35611915588379,0.050865791738033295
30,59116.51246530004,g,18.56439018249512,0.07170135527849197
31,59117.40956019983,R,18.421674728393555,0.04295041784644127
32,59117.42627310008,g,18.682086944580078,0.08828896284103394
33,59118.49329859996,g,18.742900848388672,0.07602490484714508
34,59119.46805559984,R,18.601970672607425,0.0596817247569561
35,59121.39871530003,g,18.74844741821289,0.1013915315270424
36,59122.526863399886,R,18.732372283935547,0.07178813964128494
38,59123.41061339992,g,18.95698547363281,0.18284650146961207
39,59124.317395799786,R,18.81249046325684,0.11000223457813264
41,59125.48893520003,R,18.79019927978516,0.08799099922180176
42,59126.35307870014,R,18.95506477355957,0.09815385937690736
45,59129.363865700085,g,19.58300018310547,0.20931899547576904
46,59129.48868060019,R,19.04037475585937,0.09759867191314696
48,59135.384062500205,R,19.19629669189453,0.08667825907468796
50,59137.339421300225,R,19.117467880249023,0.09441205859184264
51,59137.42650459986,g,20.55470085144043,0.2685289978981018
52,59139.2979629999,R,19.32195854187012,0.1072772815823555
54,59141.36438659997,R,19.31078147888184,0.11515559256076813
56,59143.343460599885,R,19.55864715576172,0.0980239361524582
58,59145.36354169994,R,19.624794006347656,0.09833525866270064
60,59149.373622700106,R,19.789949417114254,0.1984778493642807
