,ant_mjd,ant_passband,ant_mag,ant_magerr
17,59107.172685199876,g,18.95770072937012,0.16200968623161316
18,59111.15210650022,g,18.690561294555664,0.09110025316476822
19,59111.237094900105,R,18.79673194885254,0.12803225219249725
20,59114.18431709986,R,18.64907455444336,0.1047462671995163
21,59114.194699100226,g,18.584829330444336,0.08583374321460724
22,59117.125289400115,R,18.689924240112305,0.12828126549720764
23,59123.109259299934,g,19.068065643310547,0.18526847660541532
24,59123.2563426001,R,18.745899200439453,0.2233700007200241
25,59125.114699100144,R,19.007740020751953,0.1505746692419052
26,59125.202141200185,g,19.15814018249512,0.17308665812015533
29,59129.115914400194,R,19.273765563964844,0.19604937732219696
32,59131.17430560011,g,19.54842567443848,0.20462247729301453
33,59135.12087959983,g,20.203899383544922,0.22440700232982635
34,59135.140509299934,R,19.28709983825684,0.16371700167655945
35,59137.12112270017,R,19.643709182739254,0.1985359489917755
