,ant_mjd,ant_passband,ant_mag,ant_magerr
19,59113.17327550008,g,20.019872665405273,0.1380341500043869
20,59117.2253124998,g,18.60226821899414,0.08150900155305862
21,59119.18399310019,R,18.37850379943848,0.08612839877605437
22,59119.269062499974,g,18.296232223510746,0.06972526013851166
23,59120.23285879986,g,18.18247985839844,0.08040818572044373
24,59122.216574099846,R,18.160524368286133,0.07305025309324265
25,59123.11120369983,g,17.997507095336914,0.08588811010122299
26,59123.256805600126,R,18.146203994750977,0.08670447021722794
27,59125.11516200006,R,18.01719284057617,0.07043593376874924
28,59125.18428240017,g,17.96235466003418,0.06697102636098863
30,59129.175439800136,g,17.811500549316406,0.2759070098400116
32,59131.164756900165,g,18.039289474487305,0.05202220007777214
33,59135.15922449995,R,18.1968994140625,0.0696289986371994
34,59135.21608800023,g,18.274904251098636,0.057577788829803474
35,59137.161342599895,g,18.349580764770508,0.061854813247919076
36,59139.18339119991,g,18.523855209350586,0.07329995185136795
37,59141.195115699906,g,18.676233291625977,0.07236126810312271
39,59143.151342600126,g,18.87003326416016,0.06426800042390822
40,59145.20651620022,g,19.068946838378906,0.1110772266983986
41,59149.08908559987,R,18.87995719909668,0.19961945712566376
43,59151.10030090017,R,18.85685920715332,0.14851289987564087
44,59151.133252299864,g,19.73069953918457,0.2562640011310577
45,59153.10128469997,R,18.8439998626709,0.10478544980287552
46,59153.13335649995,g,19.57005500793457,0.18762049078941345
47,59155.08871529997,R,18.87550544738769,0.10746867209672928
48,59155.130509300165,g,20.06999969482422,0.27753999829292303
50,59164.12038190012,R,19.60030746459961,0.17756393551826474
