,ant_mjd,ant_passband,ant_mag,ant_magerr
6,59111.25405090022,R,20.409500122070312,0.258311003446579
8,59114.20884260022,g,19.567798614501953,0.14185604453086853
9,59114.27342589991,R,19.71512794494629,0.13955414295196533
10,59124.166967600126,g,18.539548873901367,0.13979779183864596
11,59128.263981500175,R,18.64425277709961,0.076971635222435
13,59130.16999999993,g,18.96222496032715,0.08792225271463394
14,59130.19224540005,R,18.826955795288086,0.06897777318954468
15,59134.19329860015,R,19.04323959350586,0.0828988328576088
16,59134.22653939994,g,19.429445266723636,0.14150474965572354
17,59136.19087960013,R,19.127206802368164,0.0833430215716362
18,59136.212303199805,g,19.721078872680664,0.13341177999973294
19,59138.120266200036,R,19.1937198638916,0.0996001586318016
21,59140.12817130005,R,19.258546829223636,0.08805745095014572
22,59140.1771296002,g,20.22393226623535,0.18395721912384036
30,59151.2437616,R,19.70210075378418,0.27199700474739075
33,59154.14755789982,R,20.149700164794922,0.25401100516319275
36,59158.144062499974,R,20.15509605407715,0.1895485669374466
